Index,Reviewer,Review,Rating,TextBlob Polarity Score,TextBlob Subjectivity Score,Vader_Neg,Vader_Neu,Vader_Pos,Vader_Com
11,"Lynn H.Elite 23Rancho Cordova, CA","The service gets 5 stars. Our waitress was great! The cheesecake gets 3.5 stars.The food gets 2 stars. What happened?? This place used to be great and pretty much everything on the menu was good. I ordered the beat and avocado salad. The avocados were NOT ripe, they were crunchy and hard. My son's sweet potato fries were cold and the burger looked to have been heated up in a microwave. The salmon my grand daughter ordered was a little 'fishy'.Not sure I would be back for anything but the cheesecake.",4,0.2684027777777778,0.656712962962963,0.012,0.834,0.154,0.9024
12,"Jennifer S.Elite 23Folsom, CA","This may be hard to believe, but I've been back to this Cheesecake Factory location twice since my last two-star review. Most recently, my friend (who also wrote her own review) and I stopped by Saturday night, after doing some shopping at Arden Fair Mall.I ordered the Spicy Rigatoni Vodka pasta, while my friend ordered a ribeye steak with brussel sprouts.We also ordered the spinach and artichoke dip appetizer, but when we found out that they were out, I convinced my friend to ""just eat our food, and then see how we feel."" We were half full on bread by this point, anyway.Our server was very attentive, and made sure our bread and drinks stayed full, in spite of the fact that the restaurant seemed to be understaffed. A floor manager seemed to be stepping in to help with server assistant duties. This was very fortunate for us, because the head hostess really seems to hate us, like, personally. She actually called us up to tell us our table was ready, only to tell us to wait again, four separate times before the manager came along and seated/saved us. Whew. We were starting to think we'd be playing musical chairs all night. Maybe this hostess has read my prior Yelp review, and recognized me? Every time we come in, we end up joking about how much she seems to hate us. While I haven't caught her name (and have a personal policy against posting waitstaff names/pictures/identifying information in my reviews), I'm almost willing to bet she's the same hostess described at length in Ana Z.s recent review on 2/15/23. Anyway, as I mentioned, I ordered the Spicy Rigatoni Vodka pasta. Two words that I would absolutely never use to describe the dish I was served are ""spicy"" and ""vodka."" It was literally the sauce base from the Four Cheese Pasta, which is what I usually order.The ""spice"" and ""vodka"" flavors were entirely absent. It was a mild, creamy, tomato basil sauce (it was the Four Cheese Pasta sauce).When I noticed that the pancetta was missing, I almost thought that they had just brought me the wrong dish by mistake. Yet, this wasn't the Four Cheese Pasta, either, because it was made with rigatoni (versus penne), was full of cherry tomatoes, and was not topped with a dollop of ricotta. I'm not saying the pasta I ordered was bad, but it definitely did not match the description of what I ordered, or of anything else on the menu. The serving size also seemed much smaller than usual. If this is The Cheesecake Factory's response to inflation, I'm not okay with it. The ribeye, which was ordered ""medium to medium rare, or maybe rare if you think the steak is really good"" came out medium well. We had to look hard to find any pink. The bite that I sampled was full of grisly fat, and was not good.To be fair, I had heavily advised my friend against ordering steak at The Cheesecake Factory, but she was determined. As she was boxing it up, I told her I'm going to take her to my favorite steak place (on Sutter Street in Folsom) to help her make reparations to her taste buds.For dessert, my friend wanted to ask the server to pick for us, which I advised against, as it was he who had picked the ribeye. We finally agreed to give him a short list to pick from, out of which he picked the red velvet cake.Neither of us had ever tried the red velvet cake before (my favorite cheesecake is the Very Cherry Ghirardelli), so we were excited to try it, but, we hated it. It was terrible. It was literally the worst red velvet cake I've ever had. There was hardly any cake in it at all, and the whole thing tasted like frosting. I LOVE sweetness overloads, but this was sickening. I would never order this dessert again.After my last review, obviously, I had to check the restrooms, to see if the soap situation had been resolved. This time, all of the dispensers were in working order, and they were all full. The bathroom wasn't spotless, but it was relatively clean, given that this was during the tail end of a spring weekend dinner rush.I almost forgot to mention our drinks, but, as I'm writing this, I realize that the way I feel about the drinks is the way I feel about the whole restaurant. It's okay, but not worth the hefty price tag. For the price point, I would expect better.She had three glasses of the house red blend, which tasted very heavily of merlot, with a little cabernet. I had a Georgia Peach, followed by a vodka cranberry. (We were there for a long time.)Overall, I still love The Cheesecake Factory, but this location consistently underwhelms. There is still a good chance I'll be back, but that's mostly because my friend loves this place so much.Edit in response to management's ""response"":In response to the comment that I should 'talk to the manager next time,' I feel like saying that you should read my whole review before posting a comment on it next time. But, based on the effort this location puts into their customer service, I think we both know that won't be happening. Lol.",2,0.0485392156862745,0.498124183006536,0.063,0.812,0.125,0.9966
13,"D R.Balibago, Angeles, Philippines","The Alfredo and pineapple cherry limeade were good. Unfortunately, The meatballs were cold on the inside but the flavor wasn't bad. The service was friendly. The menu is just so huge and feels overwhelming.",3,0.02500000000000003,0.8095238095238095,0.038,0.649,0.313,0.9233
14,"Amy N.Sacramento, CA",I ordered Adams Peanut butter fudge ripple for my sons birthday.  It was ready when I got there and the service was prompt when I arrived to pick it up.  My family enjoyed it as it was our first time trying it.,2,0.31666666666666665,0.5111111111111111,0.0,0.873,0.127,0.7003
15,"Ting L.Sterling, VA","Good place for a date night. Came here last Saturday w/ my husband. The waiting was only 20 minutes which was not too bad during busy dinner time. The service was fast and the server is wonderful. The bread that was offered before the meal was fantastic. Wanted to eat more but we had to save room for other food we ordered. There are two different menus - the normal menu and the low calories menu. I was on diet, and it was perfect that there was this SkinnyLicious Chicken Pasta which was only 580 cal. It was tasty and satisfied my craving for pasta. We wanted clam chowder too but it was not available on Saturday, so got some other creamy soup instead which was good too. For cake we got the Original which was soft and creamy, and healthier lol (only 830 cal lol).Will come back for another date night:)",4,0.20288461538461539,0.6416666666666665,0.015,0.808,0.176,0.9801
16,"Cindy M.Elite 23Sacramento, CA","I came here with my family for an early birthday celebration. We were warmly greeted by the staff and we were also seated pretty quickly at around 5 pm. Our server was Lauren and she was super friendly and accommodating. Giving her a shoutout early on in this review, because she deserves it. We didn't tell her we were there for a birthday, but she went above and beyond, and noticed that my birthday was coming up and brought a lil ice cream sundae. So sweet of her!I had been to Cheesecake Factory in the past, years ago, but my family had never been here before. There were limitless options for food and all of us were overwhelmed (but in a good way) because there was something for everyone. The staff checked in with us often enough (not too much and not too infrequently). We ordered/ate:-bread: multigrain one I remembered being better...I actually enjoyed the sourdough better! It had a good flavor, but not too sour. I appreciated that the staff brought out two baskets of bread for 6 people to share.-avocado eggroll: comes with 6 pieces, so it was enough for each person to have one. I appreciated that the stand-in server for Lauren asked if we wanted another portion, just in case it was addicting. Low key was addicting, but I wanted to save room for the rest of the meal. Anyway, the eggrolls aren't like your typical Asian eggrolls. It's basically lots of chopped avocado and maybe some bell peppers inside of a wonton wrapper.- herb crusted salmon: more herb coating the salmon. Salmon was soft, tender. I like that the mashed potatoes are so chunky and creamy. There's also a few spears of asparagus that were good (not too fibrous!)-Sheila's chicken and avocado salad: this is a HUGE salad. This is definitely plenty to share. It has a great texture and flavor to it. There's lettuce, red cabbage, large carrot shreds, shredded chicken, cashews. I would totally order this salad again. Between the herb crusted salmon and this salad, it was plenty for two people to share and to be a balanced meal with protein, carbs, and veggies...if you care about that!-tiramisu cheesecake: really good cheesecake! I was expecting it to be super sweet, but it was almost perfect. It's exactly what you would expect when these two desserts come together. I think the coffee flavor balances the rest of the cheesecake. I would totally order this again.-bonus birthday sundae: it was a little cup of vanilla ice cream, with fudge at the bottom of the cup, and whipped cream with sprinkles. The plate was cute , too, in that there was whipped cream anchoring the cup to the plate, and they wrote in cursive with fudge, ""Happy birthday to you."" So cute and pretty!I had a great experience the entire time at Cheesecake Factory, and would absolutely come back to celebrate other occasions!",3,0.2226705586080586,0.5271520146520147,0.009,0.781,0.21,0.999
17,"Frinneth R.CA, CA","My partner and I walked in on a busy Saturday afternoon and we were quickly seated by our server, Nicholas. Not only was the food delicious, our server went above and beyond!! We are beyond grateful for his recommendations (those macaroni and cheese fried balls were bangers) and his patience with us as we struggled to decide what cheesecake to get. Overall I would recommend coming here, I know my partner and I will be back soon and we will definitely be asking for Nick again!!",4,0.17916666666666667,0.425,0.025,0.84,0.135,0.8926
18,"Jennifer W.Sacramento, CA","Wait: 30 mins (it wasn't bad, it was pretty okay) Food: I called and they said they had tuna nachos & spicy tuna appetizer which is why I chose to come here to begin with, I tried to order it for my table and I was informed they were out of a bunch of things (fine, it happens) we wait for a REALLY long time for our drinks, bread, and food to come out which was again, fine... The food, upsetting and unbelievable. I should've sent it back but I've never sent back a dish and I don't plan on starting now. However, I was tempted if I wasn't already starving. They burnt the miso salmon and the pasta was missing arugula. The table next to ours had identical dishes and they didn't look like this, at all. It was a pretty disappointing meal & experience.",5,0.0023809523809523963,0.4583333333333333,0.073,0.823,0.104,0.2865
19,"Anastasia A.Elite 23Sunnyvale, CA","The Cheesecake Factory is a wonderful restaurant that offers a wide variety of dishes and drinks. The tomato pasta is a must-try, and it is incredibly delicious. The pasta is cooked to perfection, and the sauce is rich and flavorful. The cheese on top adds an extra layer of creamy goodness that makes this dish a must-try. Servers are always nice and will offer as much cheese as you want.The strawberry blossom cocktail that we tried is a delightful drink that is perfect for anyone who loves fruity and sweet cocktails. The sweetness of the strawberries is balanced perfectly with the bitterness of the alcohol, making it a perfect drink to enjoy with your meal.Overall, the Cheesecake Factory is an excellent restaurant that is sure to satisfy any craving. Whether you are in the mood for pasta, a drink, or cheesecake, you are sure to find it at this restaurant. If you are looking for a delicious meal in a friendly and inviting atmosphere, this is the place to be.",5,0.5900000000000001,0.718888888888889,0.012,0.664,0.324,0.9967
20,"Marlon O.Elite 23Vacaville, CA","It's The Cheesecake Factory... not much to add to that. Big portions, decent food with over the top prices. Service was okay, a little slow because they were busy. Not a bad place at all, just what you would expect from a chain restaurant. Would go again but maybe not for a bit though.",3,0.11435185185185184,0.4259259259259259,0.0,0.914,0.086,0.4166
21,"Rachel K.Elite 23Sacramento, CA","It's been years since I visited a Cheesecake Factory, but today I casually mentioned how much I was craving some chocolate cheesecake to my husband and he surprised me by picking some up!!I've been to this location a couple times in the past and they live up to the Cheesecake Factory expectations. The menu has something for everyone and the portions are generous.The cheesecake is what sets it apart, as a teen in Ohio this was our go to hangout spot. We'd meet friends and share a few menu items and all split some cheesecake. It was a bonus that it was open later than a lot of the restaurants the local restaurants. That's where the Godiva Chocolate Cheesecake became one of my favorite indulgent treats. It's so rich that it's easy to share and feels super fancy. That's what my husband brought home tonight along with a slice of the Chocolate mousse cheesecake. The first bite brought me back and I'll be enjoying baby spoon bites (yes I have a special tiny dessert spoon for ice cream and things like this) for the next couple days. During peak hours it can get very busy, so if you're wanting a table you may wait a bit. Definitely make a reservation if you can. You can get food and slices as well as whole cakes to go and they do offer limited customizations for birthdays or celebrations.",4,0.10390602453102453,0.4168452380952381,0.008,0.778,0.214,0.996
22,"Elizabeth W.Sacramento, CA","Came here for my hubby's birthday Celebration our waitress was very attentive and helpful with our menu our kids order few on the recommended in the menu . Our food came out a little bit late ,?we also noticed they were bz.",4,-0.041874999999999996,0.55,0.0,0.892,0.108,0.5945
23,"Aneida R.Elite 23West Sacramento, CA",I'll have to say that customer service has made a big jump in the right direction recently.  The quote times are accurate and staff is very responsive. Food is always top notch and super yummy. Portions are more than enough for eating family style and still having leftovers!The cheesecakes - well it's in the name and a must try!!,4,0.24656084656084656,0.44285714285714284,0.0,0.784,0.216,0.9309
24,"Victoria B.Elite 23Roseville, CA","I always love Cheesecake Factory. Our server was great and we visited at the perfect time, it wasn't too busy and we were sat quickly for our reservation. I took my nephew on a lunch date and we enjoyed the pretzel bites with cheese fondue, they were dangerousy good and we'll definitely be ordering them again. My nephew got the mini corn dogs with fruit for lunch and liked how they were the perfect size for kids and not ""super mini like other places"". I got the chipotle chicken pasta which is a return order for me and it was good as always!",1,0.39404761904761904,0.6672619047619046,0.041,0.72,0.239,0.9784
25,"Cordell B.Sacramento, CA",Excellent place to visit anytime of the week. Very comfortable and the service is great.,4,0.7733333333333334,0.9166666666666666,0.0,0.513,0.487,0.908
26,"Carla C.Elite 23Oakland, CA","Korean Cauliflower, a spicy, tasty fried appetizer. Entrees were delicious. The Asian chicken lettuce tacos are filling, the grilled chicken is delicious.  Our server Edyta is delightful, hard working and gives great advice about menu items items.Oops, finally posting this review. This lunch date was six months ago. Going again today, so want to make sure I give props to good staffer.",5,0.31893939393939397,0.7891414141414141,0.018,0.696,0.286,0.9676
27,"Sommaly L.Elite 23Vacaville, CA","Came here few weeks ago for sisters birthday ! Was so much fun! We went as soon as they opened to get seated, our table was for 15 people so we weren't able to make a reservation. However, we only waited about 20 minutes to get a table, not a long wait at all!Inside it's clean, well-maintained and has a family vibe to it. All the servers were friendly, fast ' efficient ! We ordered so much food (lol). Factory nachos, Brussels sprouts , chicken Marsala, all 9 different types of cheesecake. Loved everything and would def go again!",5,0.22435897435897434,0.5673076923076923,0.0,0.82,0.18,0.9657
28,"Suzanne J.Sacramento, CA","Who ever heard of a restaurant offering a menu that includes eggs that will not make two poached eggs? Well, you have now, it's cheesecake factory. I was told and I quote ""we don't have a pot of boiling water on the stove"". The explanation was completely ridiculous. A small two egg pan with a bit of boiling water is all it takes, not rocket science. This request was not due to some weird diet, it was because I happen to have a severe case of gastritis, and didn't want anything that included any grease. The four other people I dined with spent a considerable amount of money, I decline to order and will never return.",4,-0.1636904761904762,0.5285714285714286,0.068,0.914,0.017,-0.6387
29,"Goli K.Holmby Hills, Los Angeles, CA",I loved the skinny luscious medallion stake and my Sangria from the skinny menus.Delicious. The waiter was really fun and friendly. Overall a great experience.,5,0.43499999999999994,0.45,0.0,0.582,0.418,0.9438
30,"Janice J.Elk Grove, CA","The service is outstanding, the food selection is vast, and the atmosphere is warm and inviting. Highly recommend.",5,0.315,0.75375,0.0,0.56,0.44,0.8748
31,"Minerva D.Elite 23Sacramento, CA","Cheesecake Factory is always the same everywhere. Always busy, always takes long to wait even with a reservation, and always just okay. Not great. Not bad. Just okay. But great bread. Same experience here. The only thing also is that my food arrived cold. But our waiter was so nice even though I said I'd just eat it as Is and took my plate back and asked if I wanted a comp soup or fries while I waited. I declined the offer since I was already getting full off of the bread. How I end up always spending a ton of money at this place is still a mystery to me. But yeah... it was okay.",3,0.1766666666666667,0.5444444444444445,0.04,0.829,0.132,0.9326
32,"Marc T.Roseville, CA",An incredible dinner service was awesome with Richard.. we appreciate what you all do..,5,0.95,0.95,0.0,0.638,0.362,0.7783
33,"Carola S.Lincoln Village West, Stockton, CA","I made a reservation and pre ordered a 7"" cheesecake for my daughters birthday. When it was time for our waitress to bring us the cheesecake she said that they did the 10"" size by mistake and that she could bring me half of that cake for the same price. I can't recommend this place for a birthday celebration. The service was very slow too.",2,-0.18555555555555558,0.27055555555555555,0.067,0.933,0.0,-0.5439
34,"Heidi S.Elite 23Sacramento, CA","I come to The Cheesecake Factory for their Factory Chopped Salad with Chicken.  Specifically, their blue cheese dressing is to die for.  SO good!My only hangup with this place is the seating.  The majority of the restaurant is half booth with weird seats on the non-booth said.  Essentially, it's a bunch of two tops which are really just too tiny for food, bread, drinks, etc. and the tables are super close together with other parties. You can't go wrong with their cheesecake.  There isn't one that I don't love.",4,-0.07152777777777779,0.5631944444444444,0.086,0.791,0.123,0.5828
35,"Hannah R.Elite 23Elk Grove, CA","The service at this location is always great, with quick seating and friendly waiters. I enjoy that there are often new additions to the dessert menu and drinks menu! I tried the guava daiquiri and thought it was perfectly sweet and not too strong. The hot spinach & cheese dip was really delicious and perfect for sharing! We both got the pasta carbonara and thought the portion size was amazing (we both had to-go boxes) and it was delicious. We were so full we didn't even have room for Cheesecake but I look forward to trying it on my next visit!",4,0.5044372294372294,0.6705627705627706,0.016,0.778,0.206,0.9584
36,"Brianna T.Sacramento, CA","I haven't been to the Cheesecake Factory in years! I ordered the Louisiana Chicken Pasta and my mom the Mexican street corn along with the Korean Cauliflower. Everything was so good. We were seated as soon as we walked in. Our server was nice, but she did take very long to bring us our drinks and to check on us as well.",4,0.127,0.614,0.0,0.891,0.109,0.7362
37,"Kathy T.Elite 23Sacramento, CA",The service was slow. The host in the front wasn't as friendly. I approached her she was on her phone and when I continued to wait and coughed to get her attention she didn't greet me just asked how many. The food wasn't as flavorful as I remembered. I LOVED their jambalaya Shrimp Pasta but this time around it was just watery. No type of flavor. They were also out of the pasta noodle so I substituted it for the Alfredo noodle. The Alfredo noodle was thick sauce but was not salty enough for my taste. There was a good amount of meat. Which I loved! The burrito was by far the best one out of the dishes we ordered. The portion was huge! Three us of were able to eat out of it and get a taste of the flavorful burrito!,2,0.3979166666666667,0.6166666666666667,0.038,0.829,0.134,0.9615
38,"Susan L.Citrus Heights, CA","Myself, my business associate and her daughter decided to have a celebratory dinner at cheesecake factory on March 31.It was packed. We were given waters. I ordered coffee. The young man never came back to ask if I wanted any more. We ordered an appetizer. Took 30 minutes to get it.I ordered salmon.My business associate ordered the chicken and shrimp with rice.The daughter is ordered salad with chicken.Then we waited 45 minutes.My coffee got cold. I asked the young man to give me a fresh cup of coffee. He brought the same cup back had only partially filled it with coffee. Still cold.I noticed that the cup had a large chip out of the glass.Called him back. I said why did you bring me a broken glass. He said you asked me for a coffee. Why didn't you notice the glass? Like it was my fault.Finally dinner arrived.My business associates dinner had three pieces of tiny old hard shrimp.The daughter was given a salad without any chicken in it at all even though it said specifically it included chicken not as an add-on.My food was actually fine except of the subpar mashed potatoes slightly cold .This is when it got awful.The manager came by wanted to know how she could help. We told her of the problems. She promised to get us chicken for the salad, wanted to know how many more shrimp my business associate wanted. I guess she didn't hear the part about it being Cold and old.She asked the daughter to dig through the plate to see if the chicken was on the bottom of the salad, as she claimed ""it usually was."" There was none.I told her about my coffee cup.The three of us had a conversation at the dinner table. We decided that we no longer wanted to eat here because the service had been absolutely horrible and digging through ones salad instead of eating ones salad was not exactly how we wanted to spend our celebration dinner ...looking for chicken.I got up to find the manager. Walked her back to the table. Told her we wanted to leave. She presented us with a partial bill ...first it was $66. We never got the chicken dinner even though we asked for it to be wrapped.I told her to take the chicken off of it.Now down to $41.And then I also wanted not to be charged appetizer for all the bullshit that had been served us.She insisted that we pay for the partially filled Cosmo not worth 16 bucks.At that point we were getting a little upset.The manager looked at me and said ""I can see you are getting upset. I suggest that we bring this anger down to a more manageable level.""I assured her that we were perfectly capable of managing our own anger levels thank you very much.We walked out. Manageable? She wouldn't know the meaning of the word.",1,-0.11782557720057722,0.5346139971139969,0.062,0.889,0.049,-0.7807
39,"Tristan B.Roseville, CA","I would call the restaurant trendy, but it has an upscale appearance. The inside is decorated pleasantly! They offer a full bar which we took a vantage of. Their food is really consistent. It's tasty and there's plenty of it to be had. We have leftovers for both dinner and dessert! The steak was cooked, rare to perfection And the chicken was lightly breaded and not overcooked. The bowtie pasta was just barely al dente which is how I prefer it! The sauce was tasty. Some people may find it watery, but I think that's how it's traditionally done... I had a pineapple Moscow Mule, which was to die for! And there's great beer on tap. We sat at the bar because the place was pretty busy around 7 o'clock on a Friday but our food got to us fast wants me to figure it out what we wanted. Truth be told that was an awesome spot to sit because we could watch the football game and watching the bartender on duty was like a show in itself! She was both our weight staff in bartender and did a great job! We will be back again come December when we hit the ballet",4,0.2995370370370371,0.6092592592592593,0.023,0.818,0.159,0.9886
40,"Anthony V.Lodi, CA",This restaurant is always so clean and the staff is so friendly I love the presentation when your dish is served everything is just perfect hands down. The staff is always so accommodating and attentive and the menu is expansive there is always something new to try and I always look forward to the experience. The restaurant is spotless from floor to ceiling the staff well maintained and extremely professional. Every dish is perfectly prepared and you can clearly see by the pictures this kitchen staff takes their Time preparing every dish and the take great pride in the job the preform. The restaurant is perfectly laid out and with so much natural light it makes anywhere you sit during the day very comfortable the lighting at night makes you feel at home and very relaxed. A big plus is that the bathrooms are well maintained and stocked. I always look forward to the next experience.,5,0.3801374859708193,0.5653759820426487,0.0,0.741,0.259,0.9937
41,"Marlane R.Elite 23Encinitas, CA","Doesn't measure up to other cheesecake factory I've been to before. We ordered the corn fritters that were actually really good, but the one thing that we wanted wasn't available of course so we ordered the chicken breaded Parmigiano or something and it was mediocre and the food took foreverto come out. Our mom ordered the chicken and biscuits and she ended up sending it back. The were very nice about the whole thing and let us order something eles fish and chips which we payed for but offered us a free piece of cheesecake that wasn't terrible but wasn't that good either. The staff was all good tho inspite of the lousy food.",3,0.03964285714285714,0.6553571428571429,0.059,0.806,0.135,0.8752
