text,start,duration
"Of course, there's a conflict over how much should be preserved, rather than destroyed. Those decisions will be up to you.",165.86,5.28
"There's no telling what's down there, so let's check it out.",171.14,2.4
"REDITUS: ""One day, the crude biomass that you call a temple will wither, and you will beg my kind to save you.""",174.42,9.68
"REDITUS: ""But I am already saved.""",187.38,2.86
"REDITUS: ""For the Machine is immortal.""",193.26,2.72
"REDITUS: ""Even in death, I serve the Omnissiah.""",202.44,4.1
That's one hell of a title drop.,206.54,1.76
"For starters, this is a turn-based tactical game. There are many levels and mechanics of fighting the Necrons, but we'll hold off on all of that for now.",208.3,6.06
Let's begin with the visuals.,214.36,1.36
"The game is sold at half the price of a triple-A game, and it looks the part.",215.72,3.02
"If you've played other games in the genre, the texture work and detail in the environment isn't gonna be the best thing you've ever seen.",218.74,5.06
"There's also a Depth of Field effect on zooming, which I would like if you could adjust it.",223.8,3.68
"I actually like the effect when it's subtle, but it's very aggressive here and there's no option for it. So having one would be ideal.",227.48,5.38
I'd still say this game is punching above its weight when it comes to the budget.,232.86,3.04
"The use of fog, shadows, light and reflections do help make up for the shortcomings.",235.9,3.8
"On a technical level, I'd still say it's good, especially for the genre.",239.7,2.98
There's been a few better; but A LOT more worse.,242.68,2.4
Especially when this is being carried by some fantastic art direction.,245.08,3.12
"What the environmental detail lacks is made up for by the character models. If anything, the relative minimalism does help accent them.",248.2,5.8
"Whenever I saw a Tech-Priest, I always wondered what all that machinery was even for...",254.0,3.48
"I mean, where do you start?",257.48,1.38
"Well, now you'll know, because every class upgrade, piece of war gear, weapon, equipment, it's all modeled.",258.86,4.28
You can end up with very different looking soldiers and push it even further by coloring them in.,263.14,3.74
"Then you throw in all the troop types you can bring into a fight. They're not as customizable, but they do change visually when they upgrade.",266.88,5.02
It's a nice detail to have.,271.9,1.4
The look of this game is very appealing to me.,273.3,1.82
I think it could be because the detail and colorful models on a relatively bland surface reminds me a lot of a tabletop game.,275.12,0.9
"[Marv scream]
I think it could be because the detail and colorful models on a relatively bland surface reminds me a lot of a tabletop game.",276.02,0.66
I think it could be because the detail and colorful models on a relatively bland surface reminds me a lot of a tabletop game.,276.68,3.68
"I mean, technically, you actually ARE playing a tabletop game within a videogame.",280.36,3.24
"Except, when your troops die in-game, they die for real... in the game.",283.6,3.88
"Wait, the Necrons have minis too; and you can steal them!",287.48,2.76
"Okay, we're getting too meta here.",290.24,1.44
The 2-D artwork is also great; and horrific.,291.68,2.42
The Necrons have some cool models too.,294.1,1.86
"However, the visuals aren't the real star of ""Mechanicus""; it's the sound.",295.96,3.68
What do Apple Store Jawas sound like?,299.64,2.04
"Computer sounds, I guess...",301.68,1.86
[geth-like warbling],303.54,2.7
Yeah that's about right-,306.24,0.84
"[deep, imposing, digitally distorted murmur]",307.08,3.46
Holy shit...!,310.54,1.34
[geth-like warbling],311.88,2.66
I- I wasn't expecting this...,314.54,1.84
"[deep, imposing, digitally distorted murmur]",316.38,2.2
"[echoing, subtle, fragmented whisper]",318.58,3.9
"[deep, imposing, digitally distorted murmur]",322.48,4.9
"[quiet, humming, incoherent preaching]",327.38,4.62
"[rattling, robotic, incoherent speech]",333.28,4.42
"Not only is this an incredibly creative way to not have as much voice acting, it sounds phenomenal.",337.7,4.48
You still have more traditional stuff too.,342.18,1.98
"MHELOB: ""I have watched you since you dared breach the orbit of our world.""",344.16,7.48
Then you just have the regular sounds of the game.,351.64,2.32
[Tech-Priest's equipment clicks and clacks quietly as they move],353.96,3.94
[s-pewsh],360.54,1.46
[shwang],364.44,1.14
[shwoosh],369.02,1.0
[platform rises with a deep hum],371.16,3.92
[psoosh],379.14,2.22
"This isn't even the main draw, neither was the voice acting.",381.36,2.76
It's the music.,384.12,1.36
[Mechanicus OST - Dance of the Cryptek],385.48,22.02
[Mechanicus OST - Overlord],407.5,13.7
[Mechanicus OST - Millennial rage],421.2,17.7
[Mechanicus OST - Noosphere],438.9,14.7
What can I say? No one told me about the soundtrack.,453.6,3.16
"It's the most electronic a Warhammer game has gone, and appropriately so.",456.76,3.24
"It's very industrial, some of the melodies remind me of engines revving.",460.0,2.9
"The vocals can change from European medieval monks to, like, Egyptian priests chanting.",462.9,4.58
"It’s like “You’re playing with the Big Boys now” from the “Prince of Egypt”, but the Big Boy is a Necron Lord.",467.48,3.84
Most electronic music has a bass drop; Mechanicus has a pipe organ.,471.32,3.42
[Mechanicus OST - Overlord],474.74,8.04
"It's a supremely creative soundtrack, and it's one of my favorite Warhammer OSTs now.",482.78,3.68
And this is from a franchise with a lot of competition in a music genre that I'm not that into.,486.46,4.42
It's just that good.,490.88,1.3
"So, overall, the presentation is outstanding.",492.18,2.08
The aggressive Depth of Field is my only real style issue with it.,494.26,2.82
"Besides that, there's an occasional stutter after taking an action, and I think that's an engine thing.",497.1,3.68
"It only seemed to be noticeable on some particular maps. Beyond that, it's very stable; and trust me, I've played worse.",500.78,4.9
"Speaking of playing, lets talk about that. You can divide the game up into three separate sections.",505.68,3.86
The first is tomb exploring. There are several kinds of rooms and different missions have different layouts.,509.54,4.22
"If you've played something like ""Darkest Dungeon"" this will be familiar to you, except you can see where you're going.",513.76,4.14
"With each new room you go to, an Awakening meter will increase.",517.9,2.54
"This represents the tomb activating more stuff as they become aware of you, and you don't wanna wake the Necrons.",520.44,4.24
"Starting off, it's not a huge deal. However, the more you explore around, the more horrific this meter will become.",524.68,4.82
"Ignoring the objectives to loot, means deadlier fights.",529.5,2.32
"It's still worth looking around, because there are treasure rooms that can give you resources and equipment (as long as you pick the right symbol).",531.82,5.12
"But the symbols are consistent, it doesn't stay a random guessing game.",536.94,3.0
"When you pick a safe one enough, it even gets highlighted later.",539.94,2.46
"Then you have the event rooms, and all sorts of things can happen in here.",542.4,3.04
This is where it becomes pure guesswork.,545.44,1.64
"Usually, it's ""Do you wanna destroy a weird thing, or try to study it?""",547.08,2.64
You might wake the Necrons up more.,549.72,1.74
"Then again, you might get some help in an upcoming battle.",551.46,2.48
"Now, some of you might be going ""Aw the game's ruined, I hate that shit!""",553.94,2.88
"Well, I have good news: there's an option to have symbols appear for the results.",556.82,3.02
So it will no longer be completely random.,559.84,2.02
"In fact, while there are standard difficulties, this game is absurdly customizable.",561.86,4.1
Nearly every mechanic and stat can be adjusted or flat out turned off.,565.96,3.22
"You can adjust it to be a walk in the park, or the hell-crawl that you crave. So just keep that in mind.",569.18,4.06
"I'll be coming back to this dungeon part, but I'm gonna move on for now.",573.24,2.74
"The second part is the battle. You slap your troops down in a small area, and begin the fight.",575.98,3.72
"You may be surprised, if you thought this was gonna be a copy of another game.",579.7,2.98
"There's no such thing as accuracy; if the weapon's in range, it hits.",582.68,3.2
"No cover system either. You're either out of range, or completely obstructed behind something big.",585.88,4.02
Line of sight and weapon range are the name of the game.,589.9,2.22
"You can't sit around in over-watch either, your Tech-Priest don't know how.",592.12,2.68
"They don't wanna sit around, they wanna touch all everything!",594.8,2.04
"There's only one who can over-watch, and you will learn to hate him.",596.84,2.68
"(bash) ""AHH!""",599.52,1.1
"The only units dodging shots will be your own, and only through a special class upgrade.",600.62,3.58
"Accuracy may not be an unknown factor, but there are several others.",604.2,2.9
"You can gauge your own weapon range, but not that of the enemy. Or their potential damage output, or abilities.",607.1,4.86
"Most importantly, you don't know how much health they have.",611.96,2.52
There are two damage types – physical and energy – with armor for both.,614.48,2.94
High armor can completely absorb an attack.,617.42,1.88
"This means, without intel, you could be firing off useless shots and not even know it.",619.3,3.46
So you could send out a servo-skull to find out the stats.,622.76,2.52
"And then it gets stuck on cool-down for a few turns, and the skull can do something else – collect Cognition Points.",625.28,5.16
"Cognition Point Taking, CPT, is a mechanical activity vital to your success.",630.44,4.52
"Most Tech-Priest weapons, and especially the more powerful ones, require Cognition Points to fire. A lot of active skills use it too.",634.96,5.94
"Here's the thing: as long as it's off cool-down, a Tech-Priest can use as many skills and weapons in a turn as they want.",640.9,5.02
"If you have points to spend, you can do it.",645.92,2.14
"If you have a point, you can sprint outside of normal move range.",648.06,2.46
"Once again though, you can keep doing this. So if you have the points for it, you can just run all over the map.",650.52,4.82
This is your life blood.,655.34,1.34
The easiest way to get it is by grabbing it off map objects. These refresh when a turn phase is over.,656.68,4.26
"You can find special war gear to get it, you could get it through skills.",660.94,2.78
"As the game goes on, you find more sophisticated ways to keep that meter filled.",663.72,3.54
Even defeated enemies have some on the body.,667.26,1.98
"So, with careful strategy, you can keep that meter in balance.",669.24,2.48
"Instead of shooting a robot, you can have a Radio Shack man stand next to it, so when he gets shot, he can collect the point.",671.72,5.42
"Then again, maybe you should just try to get rid of the bodies immediately...",678.12,3.82
They're NECRONS.,681.94,1.38
"Yeah, that was a bad idea...",691.92,2.1
"Do you try to get points, or do you leave a dangerous body intact? You decide.",694.02,3.66
♪ Wake me up! ♪,698.48,1.2
"Of course, if you crit them the first time, they're not coming back.",699.68,2.54
[bzoom],702.22,0.74
"I admit, I didn't like this system too much at first. It felt... strange.",703.42,3.32
"But, as I got more points and more equipment, I really started to appreciate it.",706.74,2.92
Immediately firing off your most powerful weapon often isn't the best course to take.,709.66,3.4
Carefully planning your attacks and skills will get you the best outcome.,713.06,2.8
"Like the dungeons, there's opportunity here as well.",715.86,2.36
"Remember the Awakening meter? Well, it's here too and doesn't stop.",718.22,2.66
"Every time you go to a new turn phase, the bar fills up.",720.88,2.4
"In battle, there are sometimes Necron computers you can break to reduce it.",723.28,3.24
Which means wasting attacks that you could have used on a Tomb King.,726.52,2.72
"At the same time, you can have a Tech-Priest scan it for money. You can't do that if the computer's already blown up.",729.24,4.36
"Do you go for the money, or shoot it at range before the meter gets higher?",733.6,2.78
"You have to balance all this out, and at the same time, expect the unexpected.",736.38,3.4
"This is a tomb. You think you have it all figured out, then suddenly a giant platform raises and you have new problems.",739.78,4.78
An eye needs to be kept on the platforms that move around.,744.56,2.28
"There are little turret traps, the big kid's meal turret traps, sarcophagi that spit out more angry skeletons at the worst possible time.",746.84,6.18
You might make a risky power play only to find out that it was the worst possible thing you could have done.,753.02,4.18
"The early game can be brutal, and that's not the worst of it.",757.2,2.54
"Sometimes, a battle will have an objective like 'Escape'. There's an angry horde coming for you, get all your boys to this square.",759.74,4.94
So you barely make it and- surprise! Now you need to wipe them out.,764.68,3.26
All of them.,767.94,1.06
"Once again, this only happens some of the time.",769.0,2.24
"This is something I hated starting out, but it made more sense later.",771.24,3.02
"For now, I wanna move on to the third part of the game, so I could go back through it with proper context.",774.26,3.86
This is the downtime aboard your ship when you manage your army.,778.12,2.5
"When you complete a mission, you get all kinds of rewards, including new equipment.",780.62,2.76
"There are tons of different weapons and equipment pieces, you likely won't see every one in a single playthrough.",783.38,3.98
This extends to troops and their upgrades.,787.36,2.0
"The currency, called ""Blackstone"", can be used to spec out your Priests.",789.36,2.82
"Each tree will unlock four pieces of special class armor, but, other than that, you can equip anything on anyone.",792.18,4.5
"You just need enough slots to fit the equipment, and you get more as you level up.",796.68,2.88
"These guys can get way up there too, they can multiclass right from the get-go.",799.56,3.36
The other use of cash is to take regular troops with you on missions.,802.92,2.86
"Your basic Servitors will be free, but more advanced troops will start costing.",805.78,3.34
"You have unlimited troops in storage, so if you do play on perma-death, only Priests don't come back if they die.",809.12,4.72
"That hurts a lot, but you can throw more troops at 'em.",813.84,2.2
You can build around this. One of the classes is all about buffing lesser soldiers.,816.04,3.56
"As for the missions, you chose which ones you do and when.",819.6,2.3
"""Mechanicus"" has multiple endings, based on what you do or don't do. Be careful...",821.9,4.24
"This is also how you get most of your equipment, and it is semi-random on each playthrough.",826.14,3.56
"The Mechanicus has many needs, but you may not be able to fill them all.",829.7,2.78
"Oh right, that Awakening meter is global. The more each tomb wakes up, the more the whole damn planet wakes up.",832.48,4.68
You don't want that.,837.16,0.96
So taking optional fights to reduce the Awakening may be worth your time.,838.12,3.16
"There are many more smaller mechanics to this game, but those are the important ones for context.",841.28,3.72
"Now that you have that, I can go back through it and not sound like I'm speaking hieroglyphics.",845.0,3.44
"Okay, lets go again.",848.44,1.28
So you get your cohort all picked out for a mission.,849.72,2.0
"You also pick your canticles (your once-per-mission powers), but I won't get into those.",851.72,3.38
We're back to the dungeon.,855.1,1.02
"Overall, I think this part is good. Exploration is risky but also very rewarding.",856.12,4.14
Finding a powerful weapon or special piece of equipment is just as permanent as having an Awakening meter go up.,860.26,4.16
It has solid balance in that regard.,864.42,1.64
I'm actually one of those people who doesn't mind the random events.,866.06,2.14
"I'd rather have this over the game just telling me the answer, but I do see where an improvement can be made.",868.2,4.0
"I wish events had the ""blue option.""",872.2,2.0
"In the game ""FTL"" you go around exploring with a crew in a space ship, and random events pop up there too.",874.2,4.16
Outcomes aren't guaranteed-,878.36,1.3
-Unless you have the blue option. This is always a good result.,879.66,3.36
"You only get them if you have a special piece of equipment, or a crew member for the job.",883.02,3.28
"The more diverse your crew and equipment, the better chance you have for solving one of these problems.",886.3,3.56
You can see where I'm going with this.,889.86,1.5
"With so many weapons and pieces of equipment and troop types, something like this would be perfect in ""Mechanicus"".",891.36,4.58
"Maybe you only get the ""Purge with flame"" option if you have a flamethrower.",895.94,2.92
Or how about a Kastelan robot in your party? That has a flamer.,898.86,2.72
They're also known for their stable machine spirits.,901.58,2.06
[ferocious swiggity swooty],903.64,2.42
[WHAM],906.06,0.66
"It would be a nice addition. It could also lead into a more balanced party, which I'll get into more soon.",906.72,4.5
"The combat in ""Mechanicus"" is great.",911.22,1.74
"The core to your victories will be tactical thinking, but unexpected things happen just often enough to keep it interesting.",912.96,4.92
"Again, the presentation's exceptional.",917.88,1.76
"The impact and sounds of weapons, the physics of how bodies fly around – everything about it makes combat satisfying.",919.64,5.02
The points and class system means you have a ton of options for playstyles.,924.66,3.28
"For example, the troop buff class I mentioned.",927.94,2.04
"Troop attacks cost no points, which is huge. The catch is that deploying them in each battle costs points.",929.98,4.68
More advanced troops will cost more.,934.66,1.64
"So, while they are effective, they require set up, which you could have been attacking with.",936.3,3.04
"Until you have your Secutor class in the field. He can call in the most dangerous units anywhere, for one point.",939.34,4.58
He can use a skull to buff troops.,943.92,1.62
This man can order a firing line.,945.54,1.64
You can take two of these guys and a squad of troops and be fine.,947.18,2.6
There's also a medic class that can heal and cleanse and- wait.,949.78,3.3
That claw can heal a bunch of health and anyone can put it on?,953.08,2.44
"If your Priests are hurt at the end of a mission, it costs money to repair them, so everyone should have this.",955.52,4.06
"There's a skill reducing a weapon attack by two points, and it's right at the top. I can easily multi-class everyone into this.",959.58,5.8
Now everyone can have a ridiculous AOE weapon. The first shot costs the same as a normal weapon now.,965.38,4.22
The final skill of a melee class sacrifices two ranged weapons for... That?,969.6,4.18
"So, axe or a...",973.78,1.58
"I think this game needs some class rebalancing, and maybe some item restrictions.",982.78,3.26
"Because, once you're past early game, the challenge can get easy, and fast.",986.04,3.36
Even on the hardest difficulty.,989.4,1.52
And I'm not saying everything should be restricted. Maybe just the highest level of specialized equipment.,990.92,4.16
"Just enough so the medic class isn't virtually useless and really, really situational.",995.08,4.14
Because everyone can be a medic who heals nearly as much.,999.22,2.34
I'd love to use a pure melee class if it had some neat abilities.,1001.56,2.64
Maybe they could have a skill to instantly blow up a Necron computer in range but still get the money from it. Something similar to the CP scanner.,1004.2,5.82
"Naturally, there are special options to restrict things more.",1010.02,2.8
Maybe they could be turned on by default in the Praise the Omnissiah difficulty or something like that.,1012.82,3.96
"""One part, one Priest"" is an interesting way to play, but I still like to multi-class.",1016.78,3.98
"At bare minimum, I think some class things need to be rearranged, because there is great stuff here.",1020.76,4.12
"As it is, I just find it too easy to make a god class once you know what you're doing.",1024.88,3.16
I did try to avoid it because I like having a varied squad. I only wish the choices seemed more natural and synergistic.,1028.04,5.16
"As is, it feels like gimping myself.",1033.2,2.14
"I dunno, maybe the fumes are getting to me.",1035.34,1.88
Wait- no- this...,1041.76,2.12
NO!,1043.88,0.9
It's like every game is happening at once... I don't know how to-,1046.38,3.12
Is that Linus Tech-Priest!?,1049.5,1.34
"PAPA AGROLEKH: ""Insects. This galaxy is infested with vermin.""",1050.84,7.5
Moving on...,1058.34,1.14
"Don't get me wrong, the gameplay is still tons of fun.",1059.48,2.18
"There's a lot of joy in setting up your attacks and moves, even if you do wanna make the most OP build possible.",1061.66,4.34
"The core of the gameplay works, and it works wonderfully. It just needs some adjustment.",1066.0,3.4
"[it has now been patched]
 
There's also ""The Bug"". And I call it ""The Bug"" because it's the only one I noticed. But, boy...",1069.4,4.52
A few of the beam weapons claim that they cannot hit a thing in front of them.,1073.92,3.16
And I know it's not just me.,1077.08,1.7
"Sometimes, it won't say it's locked to a target no matter what.",1078.78,2.3
"Sometimes, it won't aim well or fire across a gap.",1081.08,2.54
"Sometimes, it will refuse to aim at all, and sometimes, it's like the gun's not even on.",1083.62,3.6
"Usually, I could fix it by just moving a space, but this is a disaster waiting to happen.",1087.22,3.56
And by that I mean someone will start breathing really hard and typing really fast.,1090.78,2.88
Probably me.,1093.66,0.78
It never happens with the guns that can fire through walls. I’m guessing the others see objects where they shouldn’t.,1094.44,4.06
Another issue is I think they need a few more map layouts.,1098.5,2.36
"There is some great unique maps, but by the end you’ll notice some repeating. Especially if you play at the higher difficulty for more fights.",1100.86,5.22
And that marks the end of my big issues with the game.,1106.08,1.88
"Looking at the footage editing this, I actually wanna go play it some more, but I’ll talk about the story too. It’s shockingly engaging.",1107.96,5.78
"The premise is simple: defeat the Necrons, and what should we do with them when we do. It’s the exceptional dialogue writing that makes it stand out.",1113.74,6.28
"The conflict over “pulverize or preserve” is well-developed, and there are good arguments on either side.",1120.02,3.94
"The more you learn about the Necrons, the more parallels you see.",1123.96,2.44
"The presentation gives a sense of weight to everything. Like, what happens here will have gigantic ramifications.",1126.4,5.16
"It’s rare to see this scale of importance in the big picture, when it comes to a 40K game, but here it is. And it’s being delivered by really engaging dialogue.",1131.56,7.08
"I’ve also been playing with the “Heretek” DLC, so I should explain what’s that all about.",1146.48,3.26
"As the name might imply, you fight rogue Mechanicus. There are new weapons, new equipment and a new class to fiddle with.",1149.74,5.2
"You also get two new types of troops, though I never found much of a use for the Infiltrator. Which is a shame, because I love the look of it.",1154.94,5.34
The new class I’d put firmly in the “needs work” category.,1160.28,2.64
"The Xenarite class is sort of a Flagellant type. The more health they lose, the deadlier their crit potential, and they have some minor heals of their own.",1162.92,6.04
This culminates in them being able to resurrect once per battle.,1168.96,2.38
"I typically love playing these kinds of classes, but this one didn’t gel for me.",1171.34,3.56
It could have been more appealing if they had some bonuses to the new weapons.,1174.9,3.48
It does not.,1178.38,1.72
I don’t know what to make of it.,1180.1,1.48
"But hey, there are heretics to kill! They’re spread across new map types aboard your ship, and they look great.",1181.58,4.5
"Unfortunately, there are only 5 new missions. They’re spread out in parallel with the main campaign, so you can’t go through it all at once.",1186.08,5.36
There’s also no exploring section. This time you get to choose your own adventure.,1191.44,3.24
"It determines your place on the map, your objective and a few other things. So the missions can be slightly different on replay.",1194.68,5.28
"They do make for challenging enemies, since they have the same weapons and resources as you do,",1199.96,3.28
and their inclusion does help break up the constant reconfiguring pyramids in the game.,1203.24,3.62
"The writing is as good as ever, and the new missions are welcome. There’s just not much of it.",1206.86,3.5
Its biggest impact will likely be the new goodies spread across the main campaign.,1210.36,3.14
"I wouldn’t call it bad. If you really like the game, it’s probably worth the money. If you’re on the fence, or short on cash, you’re not missing a ton by skipping it.",1213.5,6.6
It does have 9 minutes of new music. That could be worth it.,1220.1,3.12
"Okay, let’s wrap this up.",1223.22,1.34
"Despite its flaws, this is a fantastic game. It’s in my top 3 40K games for sure.",1224.56,4.86
"It introduces the setting well, and is a good candidate for someone’s first 40K game.",1229.42,3.7
I highly recommend it if you like the genre. There could be something here for you even if you don’t.,1233.12,4.0
"The devs have added things like free missions, and the game is coming to consoles soon, so I suspect there will be more to come from “Mechanicus”.",1237.12,5.42
"Personally, I’d love to see the new ship tilesets used for a base de- ship defense mission… set.",1242.54,4.76
"I didn’t mention the other game, I’m not starting now.",1247.3,2.0
"Speaking of meters, this video has a timer on it.",1249.3,2.42
"Inspired by a friend, I contacted the Polish information network to send a message to the devs.",1251.72,4.26
"If it worked, the game should be more than half off on GOG from the link in the pinned comment.",1255.98,3.84
"If not, well, it would only be for a few days anyways.",1259.82,2.48
"Regardless of what you have it on, I do have a request.",1262.3,2.3
"If you have it on Steam, or some platform with a review system, and you liked it – go ahead and leave a positive review.",1264.6,5.02
"I never asked for that, so why would I?",1269.62,1.76
"As you may know, in the past few years, there have been some stinky, borderline cash-grab 40K games.",1271.38,4.68
It was to the point that I think the brand is tainted when it comes to video games now.,1276.06,3.36
"The reviews let others like me, who passed this by for so long, know. This one isn’t a dumpster fire. This one is good. Check it out.",1279.42,6.14
I’ll see you next time for the fantasy game.,1285.56,2.08
KARL FRANZ: “Summon the elector counts!”,1288.26,2.0
[Mechanicus OST - Noosphere],1290.26,5.62
"I wish someone told me that game was good earlier, but oh well.",1309.98,3.22
RailwayHacker: “GeForce Now or Stadia?”,1313.2,1.68
I don’t really care. I have some paperweights in my drawer.,1314.88,2.56
"cptwad: “If you wanna do a non-joke review of something not a video game, what would it be?”",1317.44,3.28
"There are some tabletop games and roleplay systems that I’d kind of like to do that for. But that requires a very different setup, so who knows.",1320.72,6.22
Pappeska: “Do you think we’ll get a good 40K RTS game after that one game flopped?”,1326.94,4.04
"It’s just speculating, but I don’t see why not. As long as the buyers are there for it, I think they’ll make something good again one day.",1330.98,5.28
"“They” being ""developers"". I don’t know about Relic anymore.",1336.26,2.82
"Henskelion: “Ever heard of ""40K: Squad Command"" on DS and PSP?”",1339.08,3.02
"I did not until now. It looks like it might be one of those taint games I talked about. Could be fun, I have no clue.",1342.1,5.32
Zodiac: “Do you plan to talk to developers while making a review of their game?”,1347.42,2.7
"If you mean like a collaboration – no. Most developers know what’s wrong with their game, but don’t have unlimited time and money.",1350.12,4.92
"Them responding in a video would mainly be “We wanted to do that, but we didn’t have time”,",1355.04,3.66
"“QA did catch that bug, but we couldn’t recreate it no matter how hard we tried.”",1358.7,3.54
Exciting stuff.,1362.24,0.98
I’ll see you next time!,1363.22,1.4
