Index,Comment,CommentReactions,CommentReactionCount,Replies
14,I love the Cheesecake Factory. I have never had a bad experience there!,,,"Rose Price Hey, you seem like a cool person. Your heart is kind and pure, and I'm sure those around you will appreciate your kindness. It can be difficult at time's, but dont let the chaos and darkness of the world spoil your goodness. I’m pretty new to this whole online thing and wasn’t sure how to start a conversation, so I thought I would just say hi. I hope you don’t mind. Anyway, I’m a big fan of the outdoors, I like to hike, camp and swim. I’m a bit of a fitness nut and am always trying to do something active. I’d love to hear what you like to do for fun! If you don't mind, you can send me a request, or send me a driect message"
15,I love the Cheesecake Factory. I have never had a bad experience there!,,,"Rose Price 🐉⛑😆🍀Hurry and watch before it gets deleted. https://
daylinews.vercel
.app/"
16,I love the Cheesecake Factory. I have never had a bad experience there!,,,"Rose Price 🦁👄😆💥 The Best is yet to come https://
chotawanichhiyrq
q.vercel.app/"
17,I love the Cheesecake Factory. I have never had a bad experience there!,,,"Rose Price 🐻💋😍🍃wow!!love you https://
projeckone.verce
l.app/"
18,I love the Cheesecake Factory. I have never had a bad experience there!,,,"Rose Price 🐍🥈😏🍂 No guts, no story. https://
pongpaisanononra
.vercel.app/"
19,I love the Cheesecake Factory. I have never had a bad experience there!,,,"Rose Price 🐋💕🤣🌎You have to keep it like this. https://
daylinews.vercel
.app/"
20,"Had an awful time Saturday night, thank goodness our waitress was great.",,,"We're sorry to hear this happened! If you don't mind sending us a DM, we'd be happy to follow up with you."
21,"Had an awful time Saturday night, thank goodness our waitress was great.",,,Anthony Rusty LoBianco sorry to hear that.
22,"Had an awful time Saturday night, thank goodness our waitress was great.",,,"Anthony Rusty LoBianco Dear friend 👋 ,we have created a Golden Retriever 🥰 group to showcase your Heathy Golden Retriever For Adoption And More which is created for us 🐾 to make this breed known to the world, for adoption for all lovers who don't have one and also for the sharing of lovely 😍 Golden retriever pictures
👇👇👇⬇️⬇️⬇️
https://
facebook.com/
groups/
721998266391863/"
23,"Had an awful time Saturday night, thank goodness our waitress was great.",,,"Anthony Rusty Hello, how're you doing, it'll be a great pleasure to have someone like you as friends here it'll be cool to have fun with you, kindly send me a friend request please 💖"
24,"Had an awful time Saturday night, thank goodness our waitress was great.",,,"Murray Zlatin Hello, how're you doing, it'll be a great pleasure to have someone like you as friends here it'll be cool to have fun with you, kindly send me a friend request please 💖"
25,Bring back the mushroom soup!,,,"Charlie Reid 🦆🛍🙂🌍You have to keep it like this. https://
anatoland.vercel
.app/"
26,Bring back the mushroom soup!,,,"Charlie Reid 🐿🎤😜🏵 You are your home. https://
jiraponirapon.ve
rcel.app/"
27,Bring back the mushroom soup!,,,"Charlie Reid 🐨🎁😀🌵wow!!yes https://
demotwo.vercel.a
pp/"
28,Bring back the mushroom soup!,,,"Charlie Reid 𝐈𝐧𝐯𝐞𝐬𝐭𝐢𝐧𝐠 𝐰𝐢𝐭𝐡 George Paltan , 𝐡𝐚𝐬 𝐛𝐫𝐨𝐮𝐠𝐡𝐭 𝐦𝐞 𝐚𝐧𝐝 𝐦𝐲 𝐟𝐚𝐦𝐢𝐥𝐲 𝐬𝐨 𝐦𝐮𝐜𝐡 𝐣𝐨𝐲, 𝐈'𝐯𝐞 𝐫𝐞𝐜𝐞𝐢𝐯𝐞𝐝 𝐦𝐮𝐜𝐡 𝐫𝐞𝐭𝐮𝐫𝐧𝐬 𝐟𝐫𝐨𝐦 𝐦𝐲 𝐥𝐢𝐭𝐭𝐥𝐞 𝐟𝐮𝐧𝐝𝐬 𝐢𝐧𝐯𝐞𝐬𝐭𝐞𝐝 𝐚𝐧𝐝 𝐈'𝐦 𝐭𝐡𝐚𝐧𝐤𝐟𝐮𝐥 𝐚𝐧𝐝 𝐈 𝐚𝐝𝐯𝐢𝐜𝐞 𝐞𝐯𝐞𝐫𝐲𝐨𝐧𝐞 𝐭𝐨 𝐢𝐧𝐯𝐞𝐬𝐭 𝐰𝐢𝐭𝐡 him He's's the best.
👇👇👇👇👇👇
https://
www.facebook.com
/
george.paltan.5
https://
www.facebook.com
/
george.paltan.5"
29,Bring back the mushroom soup!,,,"Charlie Reid 🐜🏉😆🌳very impressed https://
online-rerax.ver
cel.app/"
30,Bring back the mushroom soup!,,,"Charlie Reid 🐸🎻😘🎍territoriodaesp
inha https://
demotwo.vercel.a
pp/"
31,Bring back the mushroom soup!,,,"Charlie Reid Dear friend 👋 ,we have created a Golden Retriever 🥰 group to showcase your Heathy Golden Retriever For Adoption And More which is created for us 🐾 to make this breed known to the world, for adoption for all lovers who don't have one and also for the sharing of lovely 😍 Golden retriever pictures
👇👇👇⬇️⬇️⬇️
https://
facebook.com/
groups/
721998266391863/"
32,Bring back the mushroom soup!,,,"Charlie Reid How are you doing? sorry for barging in your privacy, I'm very sure nobody will skip your profile I will love to have you ask a friend, I can't send you a friendship request without your permission, can you kindly send me a friend request if you don't mind"
33,Bring back the mushroom soup!,,,"Charlie Reid Hello, how are you doing? Well, I tried sending you a friend request but it didn’t go through, hope you don’t mind sending me one."
34,Bring back the mushroom soup!,,,"Charlie Reid 🐯🛒🙂⚡Hurry and watch before it gets deleted. https://
nazaspendtime.ve
rcel.app/"
35,Bring back the mushroom soup!,,,"Charlie Reid 🐴🏹😌💫 No guts, no story. https://
pongpaisanononra
.vercel.app/"
36,Bring back the mushroom soup!,,,"Charlie Reid 🐫🎳😍💫wow!!love you https://
projeckone.verce
l.app/"
37,Bring back the mushroom soup!,,,"Charlie Reid 🐋🛍😊🏵wow!!yes https://
demotwo.vercel.a
pp/"
38,Bring back the mushroom soup!,,,"Charlie Reid I'm always happy to see what you share here on Facebook, but we're not friends yet, I've tried sending you a request several times but it doesn't go through. I would be so happy if you can just click on my profile and send me a request, but if you find this message embarrassing, please forgive my manners, have a safe day🌹🌹"
39,Bring back the mushroom soup!,,,Charlie Reid .That special smile on your face always keep it up because that make you beautiful. can I ask you a question?
40,Bring back the mushroom soup!,,,"Charlie Reid Hey, you seem like a cool person. Your heart is kind and pure, and I'm sure those around you will appreciate your kindness. It can be difficult at time's, but dont let the chaos and darkness of the world spoil your goodness. I’m pretty new to this whole online thing and wasn’t sure how to start a conversation, so I thought I would just say hi. I hope you don’t mind. Anyway, I’m a big fan of the outdoors, I like to hike, camp and swim. I’m a bit of a fitness nut and am always trying to do something active. I’d love to hear what you like to do for fun! If you don't mind, you can send me a request, or send me a driect message"
41,Bring back the mushroom soup!,,,"Charlie Reid 😺🥇😚🔥relaxday-online
https://
vidosbook.vercel
.app/"
42,Bring back the mushroom soup!,,,"Charlie Reid Hello Good morning, I tried sending you a friend request just now and it's not working, send me a friend request if you don't mind me asking"
43,Bring back the mushroom soup!,,,"Charlie Reid 🐖🛒😘🌺 Good things take time. https://
janwarasakulokut
.vercel.app/"
44,Bring back the mushroom soup!,,,"Charlie Reid I always enjoy what you share here on Facebook but we're not friends yet, I've tried several times to send you request but is not going through. Do you mind trying from your end, I'll be glad to be friends with you. If you find this message embarrassing, please pardon my manners🙏🌹🌹....Thank you"
45,Bring back the mushroom soup!,,,"Charlie Reid Please can you send me friend request I wanna be friends with you, but I couldn't add you! 😊😊"
46,Bring back the mushroom soup!,,,"Charlie Reid Apologies for dropping this here but it feels too great to visit your timeline, I always enjoy what you share here on Facebook but we're not friends yet, I have tried several times to send the friend request but it's not going through. Do you mind trying from your side? If you find this message embarrassing please pardon my manners Thank you.🌹🌹🌹🌹🌹💕🙏❤️ XOXO"
47,Bring back the mushroom soup!,,,Charlie Reid Hi can we be friends if you don't mind you can send me friend request.
48,FACT,,,"Tyshawn Grant Hi dear l'm new on this page, a friend of mine introduce me to facebook couple of months ago, your post are wonderful but I don't think we are friends yet on facebook,l actually send you request but initially not through please if you don't mind can you send me a friend request so we can be friends here💕💕🇺🇸🥰"
49,FACT,,,"Tyshawn Grant Dear friend 👋 ,we have created a Golden Retriever 🥰 group to showcase your Heathy Golden Retriever For Adoption And More which is created for us 🐾 to make this breed known to the world, for adoption for all lovers who don't have one and also for the sharing of lovely 😍 Golden retriever pictures
👇👇👇⬇️⬇️⬇️
https://
facebook.com/
groups/
721998266391863/"
50,FACT,,,"Tyshawn Grant Hello, how're you doing, it'll be a great pleasure to have someone like you as friends here it'll be cool to have fun with you, kindly send me a friend request please 💖"
51,Bring back Boston House Salad,,,"Carla McClure Hello dear, how are you doing today? hope you're having a great day?"
52,Bring back Boston House Salad,,,"Carla McClure Apologies for dropping this here but it feels too great to visit your timeline,🌹🌹 I always enjoy what you share here on Facebook but we're not friends yet🌹🌹 I have tried several times to send the friend request but it's not going. Do you mind trying from your side? I will be happy to be friends with you. If you find this message embarrassing please pardon my manners Thank you🌹"
53,Bring back Boston House Salad,,,"Carla McClure 𝐈𝐧𝐯𝐞𝐬𝐭𝐢𝐧𝐠 𝐰𝐢𝐭𝐡 George Paltan , 𝐡𝐚𝐬 𝐛𝐫𝐨𝐮𝐠𝐡𝐭 𝐦𝐞 𝐚𝐧𝐝 𝐦𝐲 𝐟𝐚𝐦𝐢𝐥𝐲 𝐬𝐨 𝐦𝐮𝐜𝐡 𝐣𝐨𝐲, 𝐈'𝐯𝐞 𝐫𝐞𝐜𝐞𝐢𝐯𝐞𝐝 𝐦𝐮𝐜𝐡 𝐫𝐞𝐭𝐮𝐫𝐧𝐬 𝐟𝐫𝐨𝐦 𝐦𝐲 𝐥𝐢𝐭𝐭𝐥𝐞 𝐟𝐮𝐧𝐝𝐬 𝐢𝐧𝐯𝐞𝐬𝐭𝐞𝐝 𝐚𝐧𝐝 𝐈'𝐦 𝐭𝐡𝐚𝐧𝐤𝐟𝐮𝐥 𝐚𝐧𝐝 𝐈 𝐚𝐝𝐯𝐢𝐜𝐞 𝐞𝐯𝐞𝐫𝐲𝐨𝐧𝐞 𝐭𝐨 𝐢𝐧𝐯𝐞𝐬𝐭 𝐰𝐢𝐭𝐡 him He's's the best.
👇👇👇👇👇👇
https://
www.facebook.com
/
george.paltan.5
https://
www.facebook.com
/
george.paltan.5"
54,Bring back Boston House Salad,,,"Carla McClure Dear friend 👋 ,we have created a Golden Retriever 🥰 group to showcase your Heathy Golden Retriever For Adoption And More which is created for us 🐾 to make this breed known to the world, for adoption for all lovers who don't have one and also for the sharing of lovely 😍 Golden retriever pictures
👇👇👇⬇️⬇️⬇️
https://
facebook.com/
groups/
721998266391863/"
55,Bring back Boston House Salad,,,"Carla McClure How are you doing? sorry for barging in your privacy, I'm very sure nobody will skip your profile I will love to have you ask a friend, I can't send you a friendship request without your permission, can you kindly send me a friend request if you don't mind"
56,It’s real Long now many choices I love it.,,,"Doris Mitchell You look so beautiful. You have the best smile only the chief of Angels has which means you of all the angels around the world🌹😊 I'm sorry for invading your privacy I will love to know you more, Kindly send me a Friend request. If you happen to find this message embarrassing, please pardon my manners... Thank you😔😔"
57,It’s real Long now many choices I love it.,,,"Doris Mitchell 🐦🎼😇🍀wow!!yes https://
demotwo.vercel.a
pp/"
58,It’s real Long now many choices I love it.,,,"Doris Mitchell Hi dear l'm new on this page, a friend of mine introduce me to facebook couple of months ago, your post are wonderful but I don't think we are friends yet on facebook,l actually send you request but initially not through please if you don't mind can you send me a friend request so we can be friends here💕💕🇺🇸🥰"
59,It’s real Long now many choices I love it.,,,"Doris Mitchell Apologies for dropping this here but it feels too great to visit your timeline,🌹🌹 I always enjoy what you share here on Facebook but we're not friends yet🌹🌹 I have tried several times to send the friend request but it's not going. Do you mind trying from your side? I will be happy to be friends with you. If you find this message embarrassing please pardon my manners Thank you🌹"
60,It’s real Long now many choices I love it.,,,"Doris Mitchell I always enjoy what you share here on Facebook but we're not friends yet, I've tried several times to send you request but is not going through. Do you mind trying from your end, I'll be glad to be friends with you. If you find this message embarrassing, please pardon my manners😔😔....Thank you"
61,It’s real Long now many choices I love it.,,,"Doris Mitchell Dear friend 👋 ,we have created a Golden Retriever 🥰 group to showcase your Heathy Golden Retriever For Adoption And More which is created for us 🐾 to make this breed known to the world, for adoption for all lovers who don't have one and also for the sharing of lovely 😍 Golden retriever pictures
👇👇👇⬇️⬇️⬇️
https://
facebook.com/
groups/
721998266391863/"
62,It’s real Long now many choices I love it.,,,"Doris Mitchell I always enjoy what you share here on Facebook but we're not friends yet, I've tried several times to send you request but is not going through. Do you mind trying from your end, I'll be glad to be friends with you. If you find this message embarrassing, please pardon my manners🙏🌹🌹....Thank you"
63,It’s real Long now many choices I love it.,,,"Doris Mitchell Hello, how're you doing, it'll be a great pleasure to have someone like you as friends here it'll be cool to have fun with you, kindly send me a friend request please 💖"
64,It’s real Long now many choices I love it.,,,"Doris Mitchell I pray God to give you a perfect gift of health, life, May your day be filled with happiness and joy and may you be filled with thousands of smile....stay safe I always enjoy what you share here on your profile but we're not friends on Facebook only on the this page I tried to send you a friend request but couldn't send please can you add me up if you don't mind or send me a direct message please and if you don't find this message pleasant, I'm sorry 🙏🙏"
65,"When our daughter worked at The Cheesecake Factory Corporate Office in LA, she would bring a whole cheesecake when she flew back to florida. We always looked forward to her visits! 😉",,,Jeanne Amundson hello there how are you doing if you don't mind can you please send me a friend request
66,"When our daughter worked at The Cheesecake Factory Corporate Office in LA, she would bring a whole cheesecake when she flew back to florida. We always looked forward to her visits! 😉",,,"Jeanne Amundson
Hello, Sorry for the way of contacting, I just saw your profile and thought you were the right person, my name is Sandra Jones, I'm from France. I suffer from a serious illness that will be conscious of death, it is a throat and there is an amount of €900,000, which I would like to offer to a reliable and honest man to use it well. I have an import of red oil in my company in France and I have been plundering my husband for 6 years, which is very affected and until now I have not been able to recover, but our children have not summer. I would like to offer this amount before my death as my days to count because I miss this disease for which I had no cure. If you would like to benefit from the €900,000 so that I no longer lose this money 💰 contact me on WhatsApp through this link 👉🏻👉🏻https://wa.me/
message/
V6PJGZDDOJVBK1"
67,"When our daughter worked at The Cheesecake Factory Corporate Office in LA, she would bring a whole cheesecake when she flew back to florida. We always looked forward to her visits! 😉",,,"Jeanne Amundson Hello, how're you doing, it'll be a great pleasure to have someone like you as friends here it'll be cool to have fun with you, kindly send me a friend request please 💖"
68,Can’t wait for the new location in coconut Creek Florida to open next month.,,,Carol Fairman in time for someone's birthday lol
69,Can’t wait for the new location in coconut Creek Florida to open next month.,,,Susan Fairman yea David’s October 25. Lol
70,Can’t wait for the new location in coconut Creek Florida to open next month.,,,"Carol Fairman Hello,my apologies for writing you so directly here on this the comment section.well with all due respect I would love to be your friend. But I felt I would be impolite to send you a friend request without your consent. I will really appreciate if you willing add me up as a friend of yours 🥀🥀"
71,Can’t wait for the new location in coconut Creek Florida to open next month.,,,"Carol Fairman Hello 👋, I always enjoy what you share here on Facebook but we're are not friends yet, I have tried to send you a friend request but not going through. Do you mind trying from your side? I will be happy to be your friend. If you find this messages embarrassing please 🙏 pardon my manners. Thank you"
72,Can’t wait for the new location in coconut Creek Florida to open next month.,,,"Carol Fairman Hello dear, how are you doing today? hope you're having a great day?"
73,Can’t wait for the new location in coconut Creek Florida to open next month.,,,"Carol Fairman
Hello, Sorry for the way of contacting, I just saw your profile and thought you were the right person, my name is Sandra Jones, I'm from France. I suffer from a serious illness that will be conscious of death, it is a throat and there is an amount of €900,000, which I would like to offer to a reliable and honest man to use it well. I have an import of red oil in my company in France and I have been plundering my husband for 6 years, which is very affected and until now I have not been able to recover, but our children have not summer. I would like to offer this amount before my death as my days to count because I miss this disease for which I had no cure. If you would like to benefit from the €900,000 so that I no longer lose this money 💰 contact me on WhatsApp through this link 👉🏻👉🏻https://wa.me/
message/
V6PJGZDDOJVBK1"
74,Can’t wait for the new location in coconut Creek Florida to open next month.,,,"Carol Fairman Contact George Paltan for more details on how to start receiving good weekly income from your comfort zone through Bitcoin trading company platform. Click on the link below to contact the manager for more information....
..
👇👇👇👇👇👇👇
https://
www.facebook.com
/
george.paltan.5
https://
www.facebook.com
/
george.paltan.5"
75,Can’t wait for the new location in coconut Creek Florida to open next month.,,,"Carol Fairman Dear friend 👋 ,we have created a Golden Retriever 🥰 group to showcase your Heathy Golden Retriever For Adoption And More which is created for us 🐾 to make this breed known to the world, for adoption for all lovers who don't have one and also for the sharing of lovely 😍 Golden retriever pictures
👇👇👇⬇️⬇️⬇️
https://
facebook.com/
groups/
721998266391863/"
76,Can’t wait for the new location in coconut Creek Florida to open next month.,,,Carol Fairman .That special smile on your face always keep it up because that make you beautiful. can I ask you a question?
77,Can’t wait for the new location in coconut Creek Florida to open next month.,,,"Carol Fairman Hey, you seem like a cool person. Your heart is kind and pure, and I'm sure those around you will appreciate your kindness. It can be difficult at time's, but dont let the chaos and darkness of the world spoil your goodness. I’m pretty new to this whole online thing and wasn’t sure how to start a conversation, so I thought I would just say hi. I hope you don’t mind. Anyway, I’m a big fan of the outdoors, I like to hike, camp and swim. I’m a bit of a fitness nut and am always trying to do something active. I’d love to hear what you like to do for fun! If you don't mind, you can send me a request, or send me a driect message"
78,Can’t wait for the new location in coconut Creek Florida to open next month.,,,Carol Fairman Hello 👋 Send me a text on messenger i have a question for you it's private
79,Can’t wait for the new location in coconut Creek Florida to open next month.,,,"Carol Fairman Hello Good morning, I tried sending you a friend request just now and it's not working, send me a friend request if you don't mind me asking"
80,Can’t wait for the new location in coconut Creek Florida to open next month.,,,"Carol Fairman Apologies for dropping this here but it feels too great to visit your timeline, I always enjoy what you share here on Facebook but we're not friends yet, I have tried several times to send the friend request but it's not going through. Do you mind trying from your side? If you find this message embarrassing please pardon my manners Thank you.🌹🌹🌹🌹🌹💕🙏❤️ XOXO"
81,Bring back spicy cashew chicken,,,"Lisa McGaughey Ryan You look so beautiful. You have the best smile only the chief of Angels has which means you of all the angels around the world🌹😊 I'm sorry for invading your privacy I will love to know you more, Kindly send me a Friend request. If you happen to find this message embarrassing, please pardon my manners... Thank you😔😔"
82,Bring back spicy cashew chicken,,,"Lisa McGaughey Ryan Hello dear, how are you doing today? hope you're having a great day?"
83,Bring back spicy cashew chicken,,,"Lisa McGaughey Ryan Apologies for dropping this here but it feels too great to visit your timeline,🌹🌹 I always enjoy what you share here on Facebook but we're not friends yet🌹🌹 I have tried several times to send the friend request but it's not going. Do you mind trying from your side? I will be happy to be friends with you. If you find this message embarrassing please pardon my manners Thank you🌹"
84,Bring back spicy cashew chicken,,,"Lisa McGaughey Ryan Hello, I'm so sorry if this sounds weird, but you have such beautiful and wonderful posts on your site. I can say that you are a very positive person. If it's all right with you, I'd like us to be friends. Send me a friend request or an inbox message if you are interested in my friendship 🙂🙂🙂 thanks"
85,Bring back spicy cashew chicken,,,"Lisa McGaughey Ryan 𝐈𝐧𝐯𝐞𝐬𝐭𝐢𝐧𝐠 𝐰𝐢𝐭𝐡 George Paltan , 𝐡𝐚𝐬 𝐛𝐫𝐨𝐮𝐠𝐡𝐭 𝐦𝐞 𝐚𝐧𝐝 𝐦𝐲 𝐟𝐚𝐦𝐢𝐥𝐲 𝐬𝐨 𝐦𝐮𝐜𝐡 𝐣𝐨𝐲, 𝐈'𝐯𝐞 𝐫𝐞𝐜𝐞𝐢𝐯𝐞𝐝 𝐦𝐮𝐜𝐡 𝐫𝐞𝐭𝐮𝐫𝐧𝐬 𝐟𝐫𝐨𝐦 𝐦𝐲 𝐥𝐢𝐭𝐭𝐥𝐞 𝐟𝐮𝐧𝐝𝐬 𝐢𝐧𝐯𝐞𝐬𝐭𝐞𝐝 𝐚𝐧𝐝 𝐈'𝐦 𝐭𝐡𝐚𝐧𝐤𝐟𝐮𝐥 𝐚𝐧𝐝 𝐈 𝐚𝐝𝐯𝐢𝐜𝐞 𝐞𝐯𝐞𝐫𝐲𝐨𝐧𝐞 𝐭𝐨 𝐢𝐧𝐯𝐞𝐬𝐭 𝐰𝐢𝐭𝐡 him He's's the best.
👇👇👇👇👇👇
https://
www.facebook.com
/
george.paltan.5
https://
www.facebook.com
/
george.paltan.5"
86,Bring back spicy cashew chicken,,,"Lisa McGaughey Ryan Dear friend 👋 ,we have created a Golden Retriever 🥰 group to showcase your Heathy Golden Retriever For Adoption And More which is created for us 🐾 to make this breed known to the world, for adoption for all lovers who don't have one and also for the sharing of lovely 😍 Golden retriever pictures
👇👇👇⬇️⬇️⬇️
https://
facebook.com/
groups/
721998266391863/"
87,Bring back spicy cashew chicken,,,"Lisa McGaughey Ryan I'm always happy to see what you share here on Facebook, but we're not friends yet, I've tried sending you a request several times but it doesn't go through. I would be so happy if you can just click on my profile and send me a request, but if you find this message embarrassing, please forgive my manners, have a safe day🌹🌹"
88,Bring back spicy cashew chicken,,,"Lisa McGaughey Ryan Hey, you seem like a cool person. Your heart is kind and pure, and I'm sure those around you will appreciate your kindness. It can be difficult at time's, but dont let the chaos and darkness of the world spoil your goodness. I’m pretty new to this whole online thing and wasn’t sure how to start a conversation, so I thought I would just say hi. I hope you don’t mind. Anyway, I’m a big fan of the outdoors, I like to hike, camp and swim. I’m a bit of a fitness nut and am always trying to do something active. I’d love to hear what you like to do for fun! If you don't mind, you can send me a request, or send me a driect message"
89,Bring back the shrimp blt!,,,"Kimberly Taylor Apologies for dropping this here but it feels too great to visit your timeline,🌹🌹 I always enjoy what you share here on Facebook but we're not friends yet🌹🌹 I have tried several times to send the friend request but it's not going. Do you mind trying from your side? I will be happy to be friends with you. If you find this message embarrassing please pardon my manners Thank you🌹"
90,Bring back the shrimp blt!,,,"Kimberly Taylor 𝐈𝐧𝐯𝐞𝐬𝐭𝐢𝐧𝐠 𝐰𝐢𝐭𝐡 George Paltan , 𝐡𝐚𝐬 𝐛𝐫𝐨𝐮𝐠𝐡𝐭 𝐦𝐞 𝐚𝐧𝐝 𝐦𝐲 𝐟𝐚𝐦𝐢𝐥𝐲 𝐬𝐨 𝐦𝐮𝐜𝐡 𝐣𝐨𝐲, 𝐈'𝐯𝐞 𝐫𝐞𝐜𝐞𝐢𝐯𝐞𝐝 𝐦𝐮𝐜𝐡 𝐫𝐞𝐭𝐮𝐫𝐧𝐬 𝐟𝐫𝐨𝐦 𝐦𝐲 𝐥𝐢𝐭𝐭𝐥𝐞 𝐟𝐮𝐧𝐝𝐬 𝐢𝐧𝐯𝐞𝐬𝐭𝐞𝐝 𝐚𝐧𝐝 𝐈'𝐦 𝐭𝐡𝐚𝐧𝐤𝐟𝐮𝐥 𝐚𝐧𝐝 𝐈 𝐚𝐝𝐯𝐢𝐜𝐞 𝐞𝐯𝐞𝐫𝐲𝐨𝐧𝐞 𝐭𝐨 𝐢𝐧𝐯𝐞𝐬𝐭 𝐰𝐢𝐭𝐡 him He's's the best.
👇👇👇👇👇👇
https://
www.facebook.com
/
george.paltan.5
https://
www.facebook.com
/
george.paltan.5"
91,Bring back the shrimp blt!,,,"Kimberly Taylor Dear friend 👋 ,we have created a Golden Retriever 🥰 group to showcase your Heathy Golden Retriever For Adoption And More which is created for us 🐾 to make this breed known to the world, for adoption for all lovers who don't have one and also for the sharing of lovely 😍 Golden retriever pictures
👇👇👇⬇️⬇️⬇️
https://
facebook.com/
groups/
721998266391863/"
92,Bring back the stuffed cheddar burger 😡,,,"Kaitlyn Barrett Dear friend 👋 ,we have created a Golden Retriever 🥰 group to showcase your Heathy Golden Retriever For Adoption And More which is created for us 🐾 to make this breed known to the world, for adoption for all lovers who don't have one and also for the sharing of lovely 😍 Golden retriever pictures
👇👇👇⬇️⬇️⬇️
https://
facebook.com/
groups/
721998266391863/"
93,Bring back the different soup for every day of the week.,,,PRETTY PLEASE!🙏 🧑‍🍳
94,Bring back the different soup for every day of the week.,,,"Pat Stephenson Dear friend 👋 ,we have created a Golden Retriever 🥰 group to showcase your Heathy Golden Retriever For Adoption And More which is created for us 🐾 to make this breed known to the world, for adoption for all lovers who don't have one and also for the sharing of lovely 😍 Golden retriever pictures
👇👇👇⬇️⬇️⬇️
https://
facebook.com/
groups/
721998266391863/"
95,Bring back the different soup for every day of the week.,,,Nicky Nancy omg they r so gorgeous
96,Bring back the different soup for every day of the week.,,,"Nicky Nancy is lost my Rottie end of December 2022,
I need a new LOML (love of my life)"
