Index,Posting,PosterName,PostingDate,NumberofLikes,NumberofComments,NumberofReposts,NumberofOrganicImpressions,Comments,Commenters
11," ðŸš€ Are you an early-stage entrepreneur with a vision for your startup? Our On-Demand Innovation Series is here to provide you with the tools, frameworks, and mindset you need to turn your ideas into reality.  The on-demand content includes 15+ workshops and associated tools and action steps.  This resource is 100% FREE.ðŸŒŸDon't miss out on this invaluable opportunity to explore core elements of starting and developing a successful business model. Here's a sneak peek of the topics within the resource:- Blue Ocean Strategy- Finding the Right Market for Your Innovation- EOSÂ® for Vision and Traction- Designing Winning Business Models- Testing Business Ideas- Applying Jobs to Be Done (JTBD)- Transforming Organizational Culture- Innovation Accounting- Mastering Customer DiscoveryðŸ“ˆ Get ready to set your startup up for success. Join us now: https://lnkd.in/gYt4KWJa#Entrepreneurship #StartupSuccess #BusinessInnovation #StartupJourney #InnovateAndThrive",CameronR.Law,10/26/2023,5,0,0,115,,
12," ðŸŒŸ Get ready for an incredible week of innovation, inspiration, and entrepreneurship! It's almost time for Global Entrepreneurship Week Sacramento. Check out what's in store in our latest e-blast: https://lnkd.in/gaxPAg38Don't miss out on exciting events, workshops, pitch competitions, and much more. Let's celebrate entrepreneurship and innovation together! ðŸ’¼ðŸš€Thank you to our sponsors:Title: Western Health AdvantageAngel Sponsors: SMUD and Sand Hill Global AdvisorsStartup Sponsor: Five Star Bank - CaliforniaIdea Sponsors: City of Roseville and College of Continuing Education (CCE) at Sacramento State#GEW2023 #Entrepreneurship #Innovation #SacramentoEvents #BusinessOpportunitySacramento Entrepreneurial Growth Alliance StartupSac Greater Sacramento Economic Council Growth Factory Valley Vision AgStart CleanStart Sacramento MetroBusiness Center Sacramento Valley SBDC Sacramento Asian Pacific Chamber of Commerce Sacramento Black Chamber of Commerce Sacramento Hispanic Chamber of Commerce Sacramento Entrepreneurship Academy 1 Million Cups Sacramento The Hive CSUS Startup Folsom Choose Folsom ",CameronR.Law,10/26/2023,10,0,6,135,,
13," ðŸš€ Ready for an exciting evening of networking and insights? Join us for Startup Happy Hour, featuring an Ask Me Anything (AMA) session with Giri Addanki, Founder and CEO of Acorn Finance. ðŸŒ†At Startup Happy Hour, you can:- Network with like-minded innovators.- Share your ideas and potentially find your next business partner.- Enjoy delicious food and drinks (thanks to the City of Sacramento).Giri will take you through his founder journey and answer your questions about building a company and securing funding. Don't miss this opportunity to expand your network and have a great time. RSVP now to save your spot! ðŸŽ‰Hosted by StartupSac and the Carlsen Center for Innovation and Entrepreneurship.ðŸ“… When: Monday, Oct. 30thðŸ•• Time: 5 to 7 pmðŸ“ Where: Tipsy Putt, Downtown SacramentoðŸŽŸï¸ RSVP: https://lnkd.in/gK3yFgTt#StartupHappyHour #AMA #Entrepreneurship #Networking #SacramentoEvents #Innovators #StartupCommunityStartup Folsom Growth Factory Sacramento Entrepreneurial Growth Alliance Sacramento Entrepreneurship Academy NorCal Entrepreneur Hub 1 Million Cups Sacramento Sacramento Metro Chamber Sacramento MetroBusiness CenterLaura Good Arlene J. Miranda Donna â€œBasicTaqâ€ Walters, MBA ðŸ·Christy Serrato Michael Freedman May Chinavanichkit Kyla Bryant Madeline Barbour Aubree Smith",CameronR.Law,10/26/2023,3,0,1,10,,
14," ðŸš€ Are you an early-stage entrepreneur with a vision for your startup? Our On-Demand Innovation Series is here to provide you with the tools, frameworks, and mindset you need to turn your ideas into reality.  The on-demand content includes 15+ workshops and associated tools and action steps.  This resource is 100% FREE.ðŸŒŸDon't miss out on this invaluable opportunity to explore core elements of starting and developing a successful business model. Here's a sneak peek of the topics within the resource:- Blue Ocean Strategy- Finding the Right Market for Your Innovation- EOSÂ® for Vision and Traction- Designing Winning Business Models- Testing Business Ideas- Applying Jobs to Be Done (JTBD)- Transforming Organizational Culture- Innovation Accounting- Mastering Customer DiscoveryðŸ“ˆ Get ready to set your startup up for success. Join us now: https://lnkd.in/gYt4KWJa#Entrepreneurship #StartupSuccess #BusinessInnovation #StartupJourney #InnovateAndThrive",CameronR.Law,10/26/2023,5,0,0,61,,
15," ðŸŒŸ Get ready for an incredible week of innovation, inspiration, and entrepreneurship! It's almost time for Global Entrepreneurship Week Sacramento. Check out what's in store in our latest e-blast: https://lnkd.in/gaxPAg38Don't miss out on exciting events, workshops, pitch competitions, and much more. Let's celebrate entrepreneurship and innovation together! ðŸ’¼ðŸš€Thank you to our sponsors:Title: Western Health AdvantageAngel Sponsors: SMUD and Sand Hill Global AdvisorsStartup Sponsor: Five Star Bank - CaliforniaIdea Sponsors: City of Roseville and College of Continuing Education (CCE) at Sacramento State#GEW2023 #Entrepreneurship #Innovation #SacramentoEvents #BusinessOpportunitySacramento Entrepreneurial Growth Alliance StartupSac Greater Sacramento Economic Council Growth Factory Valley Vision AgStart CleanStart Sacramento MetroBusiness Center Sacramento Valley SBDC Sacramento Asian Pacific Chamber of Commerce Sacramento Black Chamber of Commerce Sacramento Hispanic Chamber of Commerce Sacramento Entrepreneurship Academy 1 Million Cups Sacramento The Hive CSUS Startup Folsom Choose Folsom ",CameronR.Law,10/26/2023,7,0,3,78,,
16," Don't miss Metro EDGE's upcoming fireside chat with Sacramento Metro Chamber 2022 Entrepreneur of the Year Kwame Anku on November 9th from 6 - 8:30 pm! Through Kwame's experience and journey to becoming the Founding Managing Partner and Chief Investment Officer of Black Star Fund, he has had many trials and tribulations that have ultimately led to his success and that we can take inspiration from. Event attendees can expect to gain insights on how to advance themselves personally and professionally through this moderated conversation. Register â¬‡ ",CameronR.Law,10/25/2023,5,0,1,0,,
17," Ready to safeguard your innovative ideas? Don't miss our Virtual IP Bootcamp!Learn from the best, James Ritchey J.D., Ph.D., and master the art of protecting your intellectual property. Whether it's trade secrets, copyrights, trademarks, or patents, we've got you covered!ðŸ—“ï¸ Date: Thursday, Oct. 26th and Friday, Oct. 27th (Two-Part Bootcamp)ðŸ•’ Time: 12 to 1 pmðŸ“ Location: Online (Register to receive Zoom link)Sign up now for a deeper understanding of IP protection: https://lnkd.in/gtjkJcqSDon't let your groundbreaking ideas go unprotected! ðŸ”’ðŸš€Thank you, Rafael A.C.D. Gacel-Sinclair for the partnership in putting this together. We are excited to continue our work with the Office of Innovation & Technology Transfer at California State University-Sacramento.#IntellectualProperty #IPBootcamp #Innovation #ProtectYourIdeas #Entrepreneurship #WorkshopUSPTO Sacramento Valley SBDC Sacramento Asian Pacific Chamber of Commerce Sacramento Black Chamber of Commerce Sacramento Hispanic Chamber of Commerce Sacramento State College of Business Administration Sacramento State College of Engineering and Computer Science Sacramento State EMBAMariappan ""Jawa"" Jawaharlal Behnam Arad Kevan Shafizadeh Jean-Francois Coget Katherine McReynolds Ron Coleman Cheng Hong Ryan Fuller, PhD, MBA Susan Holl Troy Topping David Zeigler Carlos Nevarez",CameronR.Law,10/25/2023,4,3,1,99,"Are these available for viewing afterwards? Isaac Brown we do record these. We ask that you register so we can share the recording. Carlsen Centr for Innovation & Entrepreneurship Thank you for letting me know. I have registered but won't be able to make it in person, but would love to review the content aftrward.","Isaac Brown,Carsen Center of Innovation & Entrepreneurship"
18," Join us on Thursday, 5â€“7 p.m., for our first #UCDavisBigBang workshop, Starting Something That Matters. RSVP now: https://bit.ly/3tJ6tXIYou'll explore the most important skill any entrepreneur needs â€” how build a network around your venture or idea  â€” with our executive director, Joe DiNunzio. Victoria Lee, a partner with DLA Piper's technology and sourcing group, will discuss intellectual property (IP), often a new ventureâ€™s first tangible asset. Our workshops are designed specifically to help aspiring and early-stage entrepreneurs move from concept to companyâ€”and to effectively compete in the #UCDavis Big Bang! Business Competition. Free and open to all on Zoom. #AggieInnovators ðŸš€ðŸ“· : Digital illustration of a hand holding a sprouting seedling in its palm against a deep blue background. Text: Starting Something That Matters / #UCDavisBigBang / Big Bang! Workshop, 10.26.23, 5-7 p.m., virtual.University of California, Davis | University of California, Davis - Graduate School of Management | UC Davis School of Veterinary Medicine | UC Davis College of Engineering | Sacramento Entrepreneurship Academy | Water, Energy and Technology (WET) Center | Chicostart | FourthWave.io | Carlsen Center for Innovation & Entrepreneurship | StartupSac | Laura Good | Growth Factory | Jullianne Ballou | UC Davis College of Letters and Science | UC Davis Graduate Studies | Mark Haney UC Davis Student Startup Center",CameronR.Law,10/25/2023,15,0,8,0,,
19," Startup World Cup Sacramento Regional Competition is on 11/9th! Deadline to apply to compete is 10/30! 10 finalists will be chosen and will pitch live to a panel of investors on 11/9 in Sacramento. The winner of the Greater Sacramento Regional will go on to compete at the Global Grand Finale against 70+ regional winners for a $1 MIL investment prize! Thanks to our partners:Laura Good of StartupSacCameron R. Law of Carlsen Center for Innovation & EntrepreneurshipRich Foreman of Startup Grind SacramentoSergey Ivannikov of Russian American Media, Inc.Ahmad Holmes, MBA of California African American Chamber of CommerceDmitri Godamunne of Capsity CoworkingJeff Martin & Whitney Baugher of Central Valley Community BankScott Clark of TPxRandall Metcalf of Nimble Equipment ManagementCity of SacramentoMichael YoungStartup World CupAnis Uzzaman Ph.D. & Bill Reichert & Janice Mok of Pegasus Tech VenturesCleanStartThomas HallStartup FolsomUC Davis Institute for Innovation and EntrepreneurshipSacramento Valley Manufacturing Alliance -SVMAGrowth FactoryMonique BrownCalifornia Asian Pacific Chamber of Commerce",CameronR.Law,10/25/2023,33,0,10,0,,
20," Our Spotlight Pitch Night is back and in person for Global Entrepreneurship Week Sacramento at the Carlsen Center for Innovation & Entrepreneurship. This time we will have presentations from four companies:XeroHomeâ€”has an AI-based product for making tailored recommendations to homeowners on what clean energy investments to make, all without the need for site visits and labor-intensive audits.Â The algorithm uses utility billing data, building records, satellite photos and more to analyze hundreds of thousands of homes in a few minutes, then put the results in a database the homeowners can query on their own.Â Now multiple utilities across the country are using this software.Â LICAP Technologies, Inc. â€”has a better way to make batteries.Â It is less expensive, it requires fewer steps, it avoids using toxic solvents, it creates thinner electrodes, it boosts the energy and power density, and extends cycle life.Â EV battery-makers are salivating over the technology, and have seen all the claims are valid.Â What they want to see is a high-speed manufacturing process to confirm it is fully compatible their current processes. Ascent OSâ€”has developed software to optimize and simplify the process of selling solar and storage systems to homeowners and small businesses, getting the required permits, and scheduling the crews and materials, all to cut the cost of installations.Â It is getting rave reviews from early users.Japa, Inc.â€”has the solution to avoid wasting time and fuel in trying to find a parking space by installing sensors and using software to tell drivers where empty spots are. https://lnkd.in/eJ97ajxy SMUD Water, Energy and Technology (WET) Center Weintraub Tobin StartupSac Global Entrepreneurship Network New Energy Nexus Chicostart Cameron R. Law Gary Simon Laura Good Thomas Hall Jessie Becker Alexander Franklin Burris, MPA Benjamin Finkelor Brian Hoblit Mark Humbert, CPA Mark Henwood ",CameronR.Law,10/25/2023,11,1,1,0,Register here,CleanStart
21," ðŸš€ Ready to create products your customers can't resist? Join us tomorrow for Mastering Customer Discovery: Create Products Customers Want! This session is led by Josh David Miller, Founder of The Right Box LLC.In this session, you'll discover how to:ðŸŽ¯ Crush customer interviewsðŸ”„ Know when it's time to pivotðŸ’¡ Create offers they can't say no toDon't miss out on this opportunity to supercharge your product development!ðŸ—“ï¸ Date: Wednesday, Oct. 25thðŸ•’ Time: 12 pm PSTðŸ“ Location: Online (Register to receive Zoom link)Sign up now: https://lnkd.in/gnEcCCWX#CustomerDiscovery #ProductDevelopment #Innovation #Entrepreneurship #Workshop #ProductDesign",CameronR.Law,10/24/2023,3,1,3,53,Customer discovery is vital to startup success! Join us tomorrow to learn about how to crush this process and build products your customers want. We know Josh David Miller will bring energy.,Cameron Law
22," ðŸš€ Calling all innovators and changemakers! Don't miss your shot at a piece of the $20,000 prize pool in the Spark Venture Competition during Global Entrepreneurship Week Sacramento powered by Western Health Advantage, this annual event is your gateway to success.Whether you're a profit-driven startup or on a mission to create positive social impact, the Spark Venture Competition has got you covered. With two tracks - For-Profit Ventures and Social Ventures, there's a place for every innovator.Learn more and apply now: https://lnkd.in/ggash3maThank you, StartupSac, for the blog post! Thank you Western Health Advantage, Five Star Bank - California, Sand Hill Global Advisors, SMUD, and College of Continuing Education (CCE) at Sacramento State for your support as a sponsor!#Innovation #Entrepreneurship #StartupCompetition #CashAwards #ForProfit #SocialVentures #GlobalEntrepreneurshipWeekStartup Folsom Growth Factory Choose Folsom UC Davis Venture Catalyst UC Davis Student Startup Center UC Davis Institute for Innovation and Entrepreneurship FourthWave.io Sacramento Entrepreneurial Growth Alliance Sacramento Entrepreneurship Academy 1 Million Cups Sacramento CleanStart AgStartSacramento Business Journal Comstock's Magazine Laura Good Rich Foreman Franklin Burris, Cheryl Beninga ðŸ·Christy Serrato Phil Scott Janine Elliott Aaron Mondell Anderson Dawn McGee Niki Peterson May Chinavanichkit Dick Gourley Monique Brown Donna â€œBasicTaqâ€ Walters, MBA Thomas Hall John Selep",CameronR.Law,10/24/2023,9,0,7,62,,
