CommentID,UserID,Comment,Number_of_Likes,Number_of_Replies,Updated_At,TextBlob Polarity Score,TextBlob Subjectivity Score,Vader_Neg,Vader_Neu,Vader_Pos,Vader_Com,Flesch Reading Ease Score,Gunning_Fog Score,Sarcasm,Emotion
UgydMwgKLBwWEXYk4kV4AaABAg,@matthewgayford252,"Interesting ideas. However, they seem significantly historically shortsighted. Why do you focus so much on the 1990s when the origin of the anime industry is clearly in the 1960s and 70s? And when the 80s is so influential on Gainax/Eva?",0,0,2023-10-09T06:50:39Z,0.1999999999999999,0.2708333333333333,0.0,0.796,0.204,0.8591,49.52,10.32,0,disgust
UgzrG8QMmHpbcQvOnPN4AaABAg,@CrimWorld9,The final enemy of TTGL is Eva. It is literally a planet that has succeeded in the instrumentality project and has reached perfect harmony.,0,0,2023-10-04T08:14:41Z,0.5,1.0,0.106,0.574,0.32,0.7269,50.84,11.47,0,disgust
Ugzf30aacOYHEBVYtK54AaABAg,@Pragmag,Watching it again 2 years later... like fine wine brother. Blessings to you,0,0,2023-10-04T04:24:56Z,0.2083333333333333,0.25,0.0,0.562,0.438,0.7783,92.49,1.72,1,sadness
UgyKW5XX-gmicxFW1MV4AaABAg,@DominatorLegend,It&#39;s simply impossible to compare Shinji and Simon and not automatically form a &quot;Virgin vs Chad&quot; image in your head.,20,0,2023-09-29T18:12:15Z,-0.6666666666666666,1.0,0.0,1.0,0.0,0.0,42.72,10.0,0,shame
UgzmPNXh15MYxuiTTCh4AaABAg,@drvinylscratch1936,Also Gurren laggan has a pog character who is gay/queer as fuck and its fucking amazing,0,1,2023-09-28T22:46:18Z,0.1,0.75,0.162,0.648,0.19,0.1513,72.16,8.9,1,disgust
UgyoFGxl-U-YiXWga2t4AaABAg,@jellybro4133,"And that is exactly why getter robo is better than both of these, Sexuality in getter robo? almost non-existent, it&#39;s not necessary, the characters don&#39;t need sexual relief or anything like that, they do things because they have to, want to, and have the determination to do them even if the reward is just to live another day.",0,0,2023-09-28T14:46:01Z,0.2772727272727272,0.6166666666666667,0.0,0.762,0.238,0.9349,50.5,16.43,0,anger
UgwbIZokxxuvpUMTMNd4AaABAg,@Zed_Oud,Evangelion<br>Gurren Lagann<br>Kill la Kill,1,1,2023-09-27T08:36:19Z,0.0,0.0,0.61,0.39,0.0,-0.6908,-8.73,11.6,0,sadness
UgzLlOlG87L6CjYrLMx4AaABAg,@schultz4966,"<a href=""https://www.youtube.com/watch?v=1MZEvcHipP8&amp;t=03m57s"">03:57</a> “Tenga Tappa Gurren Luhgan” lmao",0,0,2023-09-22T19:20:43Z,0.6,1.0,0.0,0.606,0.394,0.5994,22.07,2.8,0,anger
UgzVJbdWBn90UXGwR3h4AaABAg,@requiembrother2743,"In my opinion, NGE (Neon Genesis Evangelion) tries it&#39;s best to show us the bad ending. It tries to show us what to not do. It tries to show us how important it is to give out thankfullness, love, appreciation to our close ones. It shows us how to not be, Misato&#39;s obvious mistakes in being a parent to Shinji (or guardian, whatever, idc), Asuka horrible, horrible emotional control output and the way she treats everyone, Kaji&#39;s forced stuff on Misato, Gendo&#39;s horrible management with grief. Using those bad examples, we should be able to collect our own ways, have our eyes opened, it tells us &quot;do not do that, do NOT be like that&quot; by showing us the consequences, the human instrumentality project in this case. At least that is what I have learned from NGE.",0,0,2023-09-22T11:29:29Z,-0.163157894736842,0.5846491228070175,0.17,0.739,0.091,-0.9218,65.25,12.62,0,anger
Ugyd3N1u-vzL5S7PaHN4AaABAg,@danilblook1582,Evangelion is a depressing shiт for me. Why would everything watch it? Is there any Character grow?,0,1,2023-09-17T10:06:53Z,-0.6,0.9,0.156,0.844,0.0,-0.4515,74.15,9.34,1,anger
UgxiWZZUjQ8cX5aydBB4AaABAg,@orochi2723,"i think guren lagan is great according to it&#39;s fans, i just don&#39;t really care about super robot sub genre",0,0,2023-09-12T13:10:53Z,0.4444444444444444,0.5388888888888889,0.0,0.591,0.409,0.9145,68.1,10.0,0,shame
UgxD8_zAVvM2o2rtrol4AaABAg,@starhew2868,"Excuse me, I have to go rewatch gurren now",0,0,2023-09-11T14:38:08Z,-0.05,0.05,0.0,0.86,0.14,0.0772,87.72,3.6,0,shame
UgzAgbtLAkA_RkyMvcB4AaABAg,@Zack-tx7oz,"Hi PNUT<br><br>This video popped up in an interesting time for me. I have watched TTGL, but never NGE. <br><br>In essence, I&#39;m at the point in life with severe depression. I could never make sense of how to deal with it, for so many long months. Sure, I found tiny bits of pieces that helped me stay sane and afloat, but nothing that comes close to repairing me, renewing my zest for life.<br><br>This changed with your video. Came across it, and watched it.. like many others. Yet the stark contrasts was clear as light, and it never made true sense to me until you&#39;ve described it. This was the final critical piece I needed to move on from some horrible unknown of fear and depression that was holding me back in a hell of my own making.<br><br>Now, I am free again! It took 10 months of aimlessness and uncertainty. <br><br>Finally, I am sure again, and am free to forge my own destiny!<br>Thank you, again. The greatness you inspire is so much more than you can contemplate!",0,0,2023-08-29T19:57:05Z,0.2147727272727272,0.6414141414141414,0.173,0.702,0.126,-0.9263,84.98,6.51,1,fear
Ugxn7fu4ix_viiV7eo94AaABAg,@cloroxpremium2017,Shinji was crippled by his hardships while Simon was only made stronger. This can be boiled down to Simon having strong friendships and a loving support net as well as a strong mentor figure in his life while Shinji has constantly put down by those closest to him (asuka moment) so he was constantly sad which made his heart falter in the face of adversity.,1,0,2023-08-29T02:15:51Z,0.0728395061728394,0.5919753086419752,0.069,0.643,0.289,0.9571,55.41,14.23,1,disgust
Ugw9yJdHtZaRdq5FP8R4AaABAg,@qualiaty,thank you for the inspiration in the closing words. hit me in the feels.,0,0,2023-08-28T23:16:12Z,0.0,0.0,0.0,0.67,0.33,0.7096,89.75,5.66,0,fear
Ugw_v_2QxeNPDeq33yR4AaABAg,@nathantsegahbizu9405,"I remember this being the reason I finally got to watching Gurren Lagann and then afterwards I saw it again and was like I should watch evangelion so I did, all of it, and finally after 2 months of being evangelion sober it shows itself to me again. I should probably watch it this time",0,0,2023-08-23T17:09:57Z,0.0333333333333333,0.7333333333333334,0.0,0.956,0.044,0.3612,60.48,12.45,1,disgust
UgwDNzf3aiLL6cqts6J4AaABAg,@brimerwelpippy4972,"5 years ago i watched Eva and it both completed and perpetuated a very despaired state of mind that i was in. I went on to live abysmally until this year. I just finished GL for the first time as suggested by a coworker/friend,  and it couldn&#39;t have come at a better time. I truly feel this is both completing and perpetuating a mindset totally contrary to what i believed in before; that despair is inevitable and that absurdity is impossible to overcome. I now see the flaws in this mindset (i have seen the flaws of this independent of anime but I&#39;m just saying this is a great portrayal of these topic.)<br>Gurren Lagann is so fucking awesome. They&#39;ll both live forever in my heart, and they both exemplify important aspects of being human, but something about GL&#39;s philosophy feels so much more mature and realistic,  contrary to how over the top and immature it seems on the surface. I&#39;m glad this essay exists because the dichotomy between these shows is very important to me and i assume many others.  Thank you!!",0,0,2023-08-19T17:18:53Z,0.2911988636363636,0.5895833333333333,0.019,0.78,0.201,0.9913,56.79,12.64,1,joy
UgyAIMEfXamX-Vuu7oF4AaABAg,@ewh88,Just going to assume you don’t live in a life.  K. Okay,0,1,2023-08-18T11:08:16Z,0.3181818181818182,0.5,0.0,0.853,0.147,0.2263,93.14,4.8,1,fear
Ugz-7OhyWGNXGE7UP794AaABAg,@SOM_Archmage,TTGL all the way,0,0,2023-08-17T14:02:05Z,0.0,0.0,0.0,1.0,0.0,0.0,118.18,1.6,0,sadness
UgxznDG0E_5OZ9qvbhl4AaABAg,@ezequielnavon9592,"<a href=""https://www.youtube.com/watch?v=1MZEvcHipP8&amp;t=24m34s"">24:34</a> A reference to Jesus Christ<br><br>PROCEEDS TO SHOW SONIC THE HEDGEHOG",1,0,2023-08-09T16:08:08Z,0.0,0.0,0.0,1.0,0.0,0.0,17.0,8.13,1,joy
UgyVAJbMqTfMFreT5JN4AaABAg,@mariokart9227,Great video I didn&#39;t notice many of the things you mentioned while watching Gurren Lagann,0,0,2023-08-09T08:24:22Z,0.65,0.625,0.0,0.773,0.227,0.6249,73.17,6.0,0,guilt
UgwHf2WaVFIpeJMwiVR4AaABAg,@sketchythecrazy6149,"&quot;The most important lesson:<br>If you come back to back with your father, PILOT THE ROBOT!&quot;<br>Lol!",0,0,2023-08-08T06:41:42Z,0.225,0.375,0.0,0.839,0.161,0.3973,64.71,6.0,1,disgust
UgyyqAb4pqp6Ilt_sNZ4AaABAg,@KynneloVyskenon,after watching both series i&#39;ve gained a new appreciation for the creative process that went behind them and the way they answer the same questions in a different manner.<br>this video really is a thinker,1,0,2023-08-04T00:35:33Z,0.0727272727272727,0.5132575757575758,0.0,0.779,0.221,0.8316,62.68,7.98,0,disgust
Ugx6e7PbVsjVTSDJRQd4AaABAg,@RichterX83,probably the best piece of advice here &quot;Don&#39;t choke women&quot;,0,0,2023-08-03T21:32:50Z,1.0,0.3,0.223,0.51,0.268,0.1779,61.33,8.0,0,disgust
UgwzeJauNjN56kazZRp4AaABAg,@riegan947,The optimism vs pessimistic attitude,0,0,2023-07-31T08:31:04Z,0.0,0.0,0.278,0.333,0.389,0.25,32.56,18.0,0,sadness
Ugw48juKJGJ9Wg9iuyJ4AaABAg,@sangdrako,"I think if the message of Evangelion is that you should give up because there&#39;s pain, you really missed the mark. I can maybe see that as a superficial interesting for EoE, but that&#39;s NEVER been EVA &#39;s message. Though I generally agree that Gurren is a reply to EVA, it isn&#39;t too say that EVA was wrong: they agree on things, they just take a different path",1,0,2023-07-30T01:22:14Z,0.05,0.54,0.103,0.791,0.107,0.0781,73.81,10.84,0,disgust
UgxAQ7A7QbPVrAIaiwl4AaABAg,@monus782,"<a href=""https://www.youtube.com/watch?v=1MZEvcHipP8&amp;t=26m05s"">26:05</a> eh not quite, as somebody who used to be a very conservative type of Catholic until a few years ago I got the other version of heaven where it’s the perfect place to go to after you die and with some of the most devout believers it’s the ultimate purpose in life and the only real reason to be alive, also we were supposed to get prepared to worship God for all eternity and this is what the Mass is actually supposed to be about (in other words heaven is an eternal church service) so the “heaven on earth” thing you mentioned might be aplicable to more liberal Catholics and maybe Liberation Theology but those got mostly neutralized by both John Paul II and Benedict XVI. Also if you take Catholicism’s teachings very seriously like I did then you’ll end up with the repressed vision of sexuality similar to Evangelion’s as I’m still recovering from our own version of Purity Culture I went through as a horny teenager (and that’s what Catholic guilt is all about!).<br><br>Now I&#39;m an atheist and it sounds like Lagann has a Humanistic message and before my deconversion I would&#39;ve seen the show as essentially anti-religious like I did with FMA and refused to watch it based on that alone, if anything you just made the show more appealing to me now. <br><br>I haven’t really watched any of these shows and didn’t really care for the spoilers but I think this video convinced me to take a look at them at last so thank you for this video, currently I&#39;m more like Shinji since I struggled with some serious depression myself for several years until recently (and I nearly ended my life at one point) but I&#39;m finally starting to see my way out of this predicament so I definitely agree that perspective really helps.",0,1,2023-07-24T07:09:44Z,0.1388888888888888,0.415151515151515,0.07,0.782,0.148,0.9806,9.43,34.59,1,fear
Ugwssc0lPcdSJ1aeW1B4AaABAg,@hewhosays7979,"Hated Eva, loved Gurren Lagann. Coincidence? I think not",0,0,2023-07-23T12:42:40Z,-0.1,0.75,0.278,0.464,0.258,-0.0772,58.45,6.24,0,guilt
Ugz2bTDqq6YTb7z44bp4AaABAg,@toldreviews,I love philosophy with robots,0,0,2023-07-20T14:08:16Z,0.5,0.6,0.0,0.488,0.512,0.6369,49.48,10.0,0,joy
Ugw-5FrcQT40KLmM5qV4AaABAg,@elcuartetodeeren6507,And with  Rebuild of Eva we come full circle,0,0,2023-07-19T14:34:56Z,0.35,0.55,0.0,1.0,0.0,0.0,96.18,3.6,1,disgust
UgyLXFUNej0oQaY8UXl4AaABAg,@DaGoof120,"My first watch of these shows was actually back to back by complete coincidence. First Gurren, then Eva. I came to many of the same conclusions that you did, that Eva and Gurren give different answers to the same question. It was awesome to see a fully fleshed out video explaining how I felt about the two shows after watching both. So thanks for the content :)",1,0,2023-07-18T15:43:59Z,0.2333333333333333,0.3847222222222222,0.0,0.855,0.145,0.8966,83.46,7.7,1,guilt
UgynSv9Cfc-ns8-Xsh94AaABAg,@lucipavone2633,Thanks for mention to not choke women. I really needed that.,0,0,2023-07-17T22:36:06Z,0.2,0.2,0.0,0.61,0.39,0.6956,74.35,2.2,0,guilt
UgyAEF78ym4h7o0GVCJ4AaABAg,@domidii3104,I haven&#39;t watched the end of eva but I&#39;ve gotten a gist it&#39;s what people focus on the most. I&#39;ve only seen part of an episode of gurren lagann and it had a completely different energy.,0,0,2023-07-17T09:21:24Z,0.1666666666666666,0.7000000000000001,0.0,0.919,0.081,0.4709,78.59,9.42,1,disgust
Ugw9l25C-2XmAVSPaHl4AaABAg,@glouisglouison,"&gt;Unlike other mecha anime, Gurenn Lagann, Evangelion, and Code geass are about the characters instead of the robots.",0,1,2023-07-15T07:37:26Z,-0.125,0.375,0.0,1.0,0.0,0.0,53.21,11.64,0,disgust
UgxmNPLTkc_C62gPiLl4AaABAg,@daredare4176,"It doesn&#39;t, really. It&#39;s just a mashup of references to Getter Robo and GGG",0,0,2023-07-14T07:32:08Z,0.2,0.2,0.0,1.0,0.0,0.0,81.29,5.66,0,disgust
Ugx81W8rD4So-GKjLI94AaABAg,@iwishiunderstood159,&quot;Believe in the me that believes in you.&quot;<br><br>Simon could. Shinji couldn&#39;t.,0,0,2023-07-14T02:50:01Z,0.0,0.0,0.0,1.0,0.0,0.0,43.39,4.4,1,sadness
Ugxk-XRt8mj_gaouaLF4AaABAg,@tnuoccaeht,Hmm…… EVA is about ADHD 🤔,0,0,2023-07-13T23:45:44Z,0.0,0.0,0.0,1.0,0.0,0.0,100.24,2.0,0,sadness
Ugwm8YIUG0aPzyYh61B4AaABAg,@Shizkeb,"TTGL: don’t give up lol<br>EVA: people are dicks that don’t like me<br><br>None of these things answer each other, if anything TTGL’s answer to EVA just makes things worse.",0,0,2023-07-13T20:12:59Z,-0.2625,0.4875,0.098,0.823,0.079,-0.1531,68.44,11.2,0,shame
Ugw8vHU05gIbv2WwHDF4AaABAg,@Susarou,"I was a Simon-type boy in my youth, never had much friends but was a happy go lucky kid. But when the other kids kept bullying me and showing me that I wasn&#39;t good the way I was, just like my father, I turned into a Shinji-type. I think that&#39;s why I really love Gurren Lagann. I am one of the persons that has no trust and love for humanity in general. I don&#39;t think that we can be good in our core. But when I see Kamina and his unbreakable trust und spirit, I am really touched to my core. And how Simon breaks out of his missery and fights for a better future is really inspireing. Gurren Lagann shows the potential of humanity and how we can all work together to be this one giant organism that can change everything to a good ending. And everytime I hear Libera me from Hell I really feel the strenght raises up in me. I will allways love this show.",1,0,2023-07-13T18:13:29Z,0.3310185185185185,0.5407407407407407,0.092,0.677,0.231,0.9873,71.24,8.65,0,joy
UgyZCto4ciZlsQEszLp4AaABAg,@tamimzaza9941,"Stupid load of bullshit! your main objection seems to be that Eva was original and felt very real and that made you uncomfortable so you ran to some dumbfuck anime that was written one hundered times before to make you feel good with everyone having thier happy endings.<br>sex is awkward and it&#39;s over-romanticised in all media, connection is awkward, life is awkward. You can&#39;t wave a magic wand and have everything be cool, Gurren Lagann is trying to appeal to that fantsy but we both know it&#39;s bullshit.<br>in short: touch grass!!!!",0,0,2023-07-12T18:36:30Z,-0.0114102564102564,0.7710256410256412,0.115,0.809,0.076,-0.4344,61.46,9.48,1,joy
Ugz_AdSRFMTxFAMxIux4AaABAg,@crusaderdalek3527,&quot;We struggle with the grind&quot;<br><br>Vs<br><br>&quot;We struggle for the grind&quot;,0,0,2023-07-11T10:39:32Z,0.0,0.0,0.397,0.603,0.0,-0.5574,53.88,3.6,0,guilt
UgyU1oNlvedfjdUKtXp4AaABAg,@MunkEMann,so basically &quot;What having a father figure does to a mf&quot;,0,0,2023-07-11T05:42:41Z,0.0,0.0,0.0,1.0,0.0,0.0,68.77,8.04,0,disgust
Ugybt_85h7ZIZOayKIh4AaABAg,@rimjobledouche5201,Shinji needed a dad who cared more than anything.,0,0,2023-07-10T18:48:32Z,0.5,0.5,0.0,0.741,0.259,0.4215,87.72,3.6,0,disgust
Ugyz4aWeMDrb3PDZiwR4AaABAg,@notcreative1094,"A Reposta final me deixou desapontado, mas gostei do humor.",0,0,2023-07-10T12:56:16Z,0.0,1.0,0.0,0.811,0.189,0.2732,52.87,12.0,0,anger
UgwPruLg9BQBmi7w1hx4AaABAg,@workstudy8118,Binging your other videos after this,0,0,2023-07-09T17:34:51Z,-0.125,0.375,0.0,1.0,0.0,0.0,73.85,2.4,0,guilt
Ugw5cyCyr4QRS4wEWhV4AaABAg,@barccy,Do choke women - it feels great for u and them<br>Asuka did plenty wrong like everyone,0,0,2023-07-09T15:13:14Z,0.15,0.825,0.262,0.476,0.262,0.0,64.71,6.0,0,disgust
UgycPDB6WG_rVikyDvN4AaABAg,@luiscortazar6291,"While I really enjoyed your review, I feel as though you mishandled the comparison between Misato and Kamina, and left out Kamina&#39;s polar opposite, Gendo.  <br><br>Throughout the series Misato tries to be nurturing to Shinji, she takes her in, tries to get him to open up and despite her scolding, aims to take care of him and Auska and remind them that they are more than tools. She&#39;s no mother figure, but she&#39;s like a responsible older sister. She and Kamina are different characters, but both try to protect and bring the best out of the two mcs through the laws of their respective universes.<br><br>Gendo which I&#39;m shocked wasn&#39;t mentioned at all, is the worst human being. Someone cold, who treats the people closest to him as tools, and manipulates their feelings for him. When his wife died he abandoned their son, and only called upon him when he saw him as potentially useful. He berates and never showed him any form of support or encouragement. All the negative things you spoke of Misato, they&#39;re more applicable to Gendo. The only person we currently see, that he has any affinity for us Rei. A clone of his wife, who is also the key to his master plan. <br><br>Kamina and Gendo couldn&#39;t be any more different. One of them left when things got uncomfortable, the other one pushed his best friend till the very end.",0,0,2023-07-09T11:39:23Z,0.0438172043010752,0.4809139784946236,0.096,0.742,0.162,0.9592,70.13,10.11,1,sadness
